id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-16 16:46:03,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1544,18310,290,316,0.9704,0.8419,0.8301,0.836,0.9148,0.7173,0.8301,0.1699,0.9844,0.0156
14,2026-07-16 16:46:16,injection_aggregate,nb15,"Normal, DoS",102300,1689,18310,290,171,0.9775,0.8535,0.9081,0.8799,0.9478,0.7558,0.9081,0.0919,0.9844,0.0156
21,2026-07-16 16:46:28,injection_aggregate,nb15,"Normal, Exploits",102300,1552,18310,290,308,0.9708,0.8426,0.8344,0.8385,0.9069,0.7055,0.8344,0.1656,0.9844,0.0156
28,2026-07-16 16:46:40,injection_aggregate,nb15,"Normal, Fuzzers",102300,519,18310,290,1341,0.9203,0.6415,0.279,0.3889,0.676,0.2881,0.279,0.721,0.9844,0.0156
35,2026-07-16 16:46:52,injection_aggregate,nb15,"Normal, Generic",102300,1844,18310,290,16,0.985,0.8641,0.9914,0.9234,0.9881,0.86,0.9914,0.0086,0.9844,0.0156
42,2026-07-16 16:47:05,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1617,18310,290,243,0.9739,0.8479,0.8694,0.8585,0.9226,0.7072,0.8694,0.1306,0.9844,0.0156
49,2026-07-16 16:47:18,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1539,18310,290,321,0.9701,0.8414,0.8274,0.8344,0.9124,0.7144,0.8274,0.1726,0.9844,0.0156
56,2026-07-16 16:47:31,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1791,18310,290,69,0.9825,0.8606,0.9629,0.9089,0.973,0.8345,0.9629,0.0371,0.9844,0.0156
63,2026-07-16 16:47:44,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1841,18310,290,19,0.9849,0.8639,0.9898,0.9226,0.987,0.8584,0.9898,0.0102,0.9844,0.0156
70,2026-07-16 16:47:56,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1750,18310,290,110,0.9804,0.8578,0.9409,0.8974,0.9621,0.8155,0.9409,0.0591,0.9844,0.0156
77,2026-07-16 16:48:09,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1825,18310,290,35,0.9841,0.8629,0.9812,0.9182,0.9826,0.8508,0.9812,0.0188,0.9844,0.0156
84,2026-07-16 16:48:21,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1859,18310,290,1,0.9858,0.8651,0.9995,0.9274,0.9921,0.8671,0.9995,0.0005,0.9844,0.0156
91,2026-07-16 16:48:33,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1635,18310,290,225,0.9748,0.8494,0.879,0.8639,0.9293,0.7599,0.879,0.121,0.9844,0.0156
98,2026-07-16 16:48:45,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1859,18310,290,1,0.9858,0.8651,0.9995,0.9274,0.9921,0.8671,0.9995,0.0005,0.9844,0.0156
105,2026-07-16 16:48:56,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1795,18310,290,65,0.9826,0.8609,0.9651,0.91,0.9742,0.8364,0.9651,0.0349,0.9844,0.0156
112,2026-07-16 16:49:08,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1664,18310,290,196,0.9762,0.8516,0.8946,0.8726,0.9375,0.7738,0.8946,0.1054,0.9844,0.0156
