id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-16 17:12:34,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1315,18562,38,545,0.9715,0.9719,0.707,0.8185,0.9693,0.8696,0.707,0.293,0.998,0.002
9,2026-07-16 17:12:47,nb15_dos,nb15,"Normal, DoS",102300,1700,18562,38,160,0.9903,0.9781,0.914,0.945,0.9967,0.9799,0.914,0.086,0.998,0.002
16,2026-07-16 17:13:00,nb15_dos,nb15,"Normal, Exploits",102300,1338,18562,38,522,0.9726,0.9724,0.7194,0.8269,0.9892,0.9386,0.7194,0.2806,0.998,0.002
23,2026-07-16 17:13:12,nb15_dos,nb15,"Normal, Fuzzers",102300,261,18562,38,1599,0.92,0.8729,0.1403,0.2418,0.8851,0.4573,0.1403,0.8597,0.998,0.002
30,2026-07-16 17:13:25,nb15_dos,nb15,"Normal, Generic",102300,1839,18562,38,21,0.9971,0.9798,0.9887,0.9842,0.9982,0.9733,0.9887,0.0113,0.998,0.002
37,2026-07-16 17:13:37,nb15_dos,nb15,"Normal, Reconnaissance",102300,332,18562,38,1528,0.9235,0.8973,0.1785,0.2978,0.9167,0.6456,0.1785,0.8215,0.998,0.002
44,2026-07-16 17:13:50,nb15_dos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1314,18562,38,546,0.9715,0.9719,0.7065,0.8182,0.9713,0.8758,0.7065,0.2935,0.998,0.002
51,2026-07-16 17:14:03,nb15_dos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,137,18562,38,1723,0.9139,0.7829,0.0737,0.1346,0.9015,0.6607,0.0737,0.9263,0.998,0.002
58,2026-07-16 17:14:16,nb15_dos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,293,18562,38,1567,0.9216,0.8852,0.1575,0.2675,0.9199,0.6737,0.1575,0.8425,0.998,0.002
65,2026-07-16 17:14:29,nb15_dos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,21,18562,38,1839,0.9083,0.3559,0.0113,0.0219,0.8881,0.6778,0.0113,0.9887,0.998,0.002
72,2026-07-16 17:14:42,nb15_dos,nb15_sat20,"Normal, Syn_DDoS",102300,0,18562,38,1860,0.9072,0.0,0.0,0.0,0.8284,0.3374,0.0,1.0,0.998,0.002
79,2026-07-16 17:14:55,nb15_dos,nb15_sat20,"Normal, UDP_DDoS",102300,587,18562,38,1273,0.9359,0.9392,0.3156,0.4724,0.9947,0.9372,0.3156,0.6844,0.998,0.002
86,2026-07-16 17:15:09,nb15_dos,nb15_ter20,"Normal, Botnet",102300,31,18562,38,1829,0.9087,0.4493,0.0167,0.0321,0.957,0.8036,0.0167,0.9833,0.998,0.002
93,2026-07-16 17:15:22,nb15_dos,nb15_ter20,"Normal, DDoS",102300,23,18562,38,1837,0.9084,0.377,0.0124,0.0239,0.9806,0.8506,0.0124,0.9876,0.998,0.002
100,2026-07-16 17:15:35,nb15_dos,nb15_ter20,"Normal, Syn_DDoS",102300,0,18562,38,1860,0.9072,0.0,0.0,0.0,0.5223,0.1062,0.0,1.0,0.998,0.002
107,2026-07-16 17:15:48,nb15_dos,nb15_ter20,"Normal, UDP_DDoS",102300,0,18562,38,1860,0.9072,0.0,0.0,0.0,0.7455,0.2869,0.0,1.0,0.998,0.002
