id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-16 17:16:10,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,958,18595,5,902,0.9557,0.9948,0.5151,0.6787,0.9497,0.8279,0.5151,0.4849,0.9997,0.0003
12,2026-07-16 17:16:23,nb15_generic,nb15,"Normal, DoS",102300,889,18595,5,971,0.9523,0.9944,0.478,0.6456,0.9769,0.9117,0.478,0.522,0.9997,0.0003
19,2026-07-16 17:16:37,nb15_generic,nb15,"Normal, Exploits",102300,564,18595,5,1296,0.9364,0.9912,0.3032,0.4644,0.951,0.8145,0.3032,0.6968,0.9997,0.0003
26,2026-07-16 17:16:49,nb15_generic,nb15,"Normal, Fuzzers",102300,152,18595,5,1708,0.9163,0.9682,0.0817,0.1507,0.8695,0.4529,0.0817,0.9183,0.9997,0.0003
33,2026-07-16 17:17:03,nb15_generic,nb15,"Normal, Generic",102300,1839,18595,5,21,0.9987,0.9973,0.9887,0.993,0.9993,0.997,0.9887,0.0113,0.9997,0.0003
40,2026-07-16 17:17:16,nb15_generic,nb15,"Normal, Reconnaissance",102300,179,18595,5,1681,0.9176,0.9728,0.0962,0.1751,0.8632,0.5211,0.0962,0.9038,0.9997,0.0003
47,2026-07-16 17:17:29,nb15_generic,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,972,18595,5,888,0.9564,0.9949,0.5226,0.6852,0.9529,0.8342,0.5226,0.4774,0.9997,0.0003
54,2026-07-16 17:17:42,nb15_generic,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,235,18595,5,1625,0.9203,0.9792,0.1263,0.2238,0.8188,0.5926,0.1263,0.8737,0.9997,0.0003
61,2026-07-16 17:17:55,nb15_generic,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,495,18595,5,1365,0.933,0.99,0.2661,0.4195,0.7433,0.4825,0.2661,0.7339,0.9997,0.0003
68,2026-07-16 17:18:07,nb15_generic,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,73,18595,5,1787,0.9124,0.9359,0.0392,0.0753,0.878,0.6798,0.0392,0.9608,0.9997,0.0003
75,2026-07-16 17:18:20,nb15_generic,nb15_sat20,"Normal, Syn_DDoS",102300,0,18595,5,1860,0.9088,0.0,0.0,0.0,0.476,0.1237,0.0,1.0,0.9997,0.0003
82,2026-07-16 17:18:32,nb15_generic,nb15_sat20,"Normal, UDP_DDoS",102300,938,18595,5,922,0.9547,0.9947,0.5043,0.6693,0.9802,0.8516,0.5043,0.4957,0.9997,0.0003
89,2026-07-16 17:18:45,nb15_generic,nb15_ter20,"Normal, Botnet",102300,244,18595,5,1616,0.9208,0.9799,0.1312,0.2314,0.9882,0.8981,0.1312,0.8688,0.9997,0.0003
96,2026-07-16 17:18:58,nb15_generic,nb15_ter20,"Normal, DDoS",102300,0,18595,5,1860,0.9088,0.0,0.0,0.0,0.9851,0.8365,0.0,1.0,0.9997,0.0003
103,2026-07-16 17:19:10,nb15_generic,nb15_ter20,"Normal, Syn_DDoS",102300,0,18595,5,1860,0.9088,0.0,0.0,0.0,0.5676,0.1287,0.0,1.0,0.9997,0.0003
110,2026-07-16 17:19:23,nb15_generic,nb15_ter20,"Normal, UDP_DDoS",102300,0,18595,5,1860,0.9088,0.0,0.0,0.0,0.4715,0.1178,0.0,1.0,0.9997,0.0003
