id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 17:37:29,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1487,18536,64,373,0.9786,0.9587,0.7995,0.8719,0.984,0.9226,0.7995,0.2005,0.9966,0.0034
8,2026-07-16 17:37:43,nb15_aggregate,nb15,"Normal, DoS",102300,1659,18536,64,201,0.987,0.9629,0.8919,0.926,0.9931,0.9612,0.8919,0.1081,0.9966,0.0034
15,2026-07-16 17:37:56,nb15_aggregate,nb15,"Normal, Exploits",102300,1519,18536,64,341,0.9802,0.9596,0.8167,0.8824,0.9899,0.9423,0.8167,0.1833,0.9966,0.0034
22,2026-07-16 17:38:10,nb15_aggregate,nb15,"Normal, Fuzzers",102300,331,18536,64,1529,0.9221,0.838,0.178,0.2936,0.925,0.5695,0.178,0.822,0.9966,0.0034
29,2026-07-16 17:38:23,nb15_aggregate,nb15,"Normal, Generic",102300,1839,18536,64,21,0.9958,0.9664,0.9887,0.9774,0.9992,0.9965,0.9887,0.0113,0.9966,0.0034
36,2026-07-16 17:38:36,nb15_aggregate,nb15,"Normal, Reconnaissance",102300,1637,18536,64,223,0.986,0.9624,0.8801,0.9194,0.9956,0.9567,0.8801,0.1199,0.9966,0.0034
43,2026-07-16 17:38:48,nb15_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1492,18536,64,368,0.9789,0.9589,0.8022,0.8735,0.9859,0.9301,0.8022,0.1978,0.9966,0.0034
50,2026-07-16 17:39:01,nb15_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,18,18536,64,1842,0.9068,0.2195,0.0097,0.0185,0.7563,0.4757,0.0097,0.9903,0.9966,0.0034
57,2026-07-16 17:39:13,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,21,18536,64,1839,0.907,0.2471,0.0113,0.0216,0.6484,0.3996,0.0113,0.9887,0.9966,0.0034
64,2026-07-16 17:39:26,nb15_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,12,18536,64,1848,0.9065,0.1579,0.0065,0.0124,0.8369,0.5704,0.0065,0.9935,0.9966,0.0034
71,2026-07-16 17:39:38,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,0,18536,64,1860,0.906,0.0,0.0,0.0,0.2695,0.0858,0.0,1.0,0.9966,0.0034
78,2026-07-16 17:39:51,nb15_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,38,18536,64,1822,0.9078,0.3725,0.0204,0.0387,0.9784,0.7763,0.0204,0.9796,0.9966,0.0034
85,2026-07-16 17:40:04,nb15_aggregate,nb15_ter20,"Normal, Botnet",102300,22,18536,64,1838,0.907,0.2558,0.0118,0.0226,0.988,0.8461,0.0118,0.9882,0.9966,0.0034
92,2026-07-16 17:40:18,nb15_aggregate,nb15_ter20,"Normal, DDoS",102300,11,18536,64,1849,0.9065,0.1467,0.0059,0.0114,0.9686,0.6909,0.0059,0.9941,0.9966,0.0034
99,2026-07-16 17:40:31,nb15_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,0,18536,64,1860,0.906,0.0,0.0,0.0,0.4607,0.1014,0.0,1.0,0.9966,0.0034
106,2026-07-16 17:40:43,nb15_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,0,18536,64,1860,0.906,0.0,0.0,0.0,0.2706,0.0802,0.0,1.0,0.9966,0.0034
