id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-09-05 13:07:11,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1255,18511,89,605,0.9661,0.9338,0.6747,0.7834,0.9339,0.8087,0.6747,0.3253,0.9952,0.0048
13,2026-09-05 13:07:26,nb15_reconnaissance,nb15,"Normal, DoS",102300,1459,18511,89,401,0.9761,0.9425,0.7844,0.8562,0.963,0.8935,0.7844,0.2156,0.9952,0.0048
20,2026-09-05 13:07:40,nb15_reconnaissance,nb15,"Normal, Exploits",102300,770,18511,89,1090,0.9424,0.8964,0.414,0.5664,0.8907,0.6785,0.414,0.586,0.9952,0.0048
27,2026-09-05 13:07:55,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,254,18511,89,1606,0.9172,0.7405,0.1366,0.2306,0.8132,0.3691,0.1366,0.8634,0.9952,0.0048
34,2026-09-05 13:08:08,nb15_reconnaissance,nb15,"Normal, Generic",102300,1820,18511,89,40,0.9937,0.9534,0.9785,0.9658,0.9949,0.9738,0.9785,0.0215,0.9952,0.0048
41,2026-09-05 13:08:22,nb15_reconnaissance,nb15,"Normal, Reconnaissance",102300,1761,18511,89,99,0.9908,0.9519,0.9468,0.9493,0.9983,0.9874,0.9468,0.0532,0.9952,0.0048
48,2026-09-05 13:08:37,nb15_reconnaissance,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1241,18511,89,619,0.9654,0.9331,0.6672,0.7781,0.9342,0.8085,0.6672,0.3328,0.9952,0.0048
55,2026-09-05 13:08:53,nb15_reconnaissance,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1,18511,89,1859,0.9048,0.0111,0.0005,0.001,0.7788,0.2164,0.0005,0.9995,0.9952,0.0048
62,2026-09-05 13:09:07,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1,18511,89,1859,0.9048,0.0111,0.0005,0.001,0.82,0.307,0.0005,0.9995,0.9952,0.0048
69,2026-09-05 13:09:22,nb15_reconnaissance,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,0,18511,89,1860,0.9047,0.0,0.0,0.0,0.7515,0.1856,0.0,1.0,0.9952,0.0048
76,2026-09-05 13:09:36,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS",102300,0,18511,89,1860,0.9047,0.0,0.0,0.0,0.6762,0.1669,0.0,1.0,0.9952,0.0048
83,2026-09-05 13:09:50,nb15_reconnaissance,nb15_sat20,"Normal, UDP_DDoS",102300,0,18511,89,1860,0.9047,0.0,0.0,0.0,0.9467,0.543,0.0,1.0,0.9952,0.0048
90,2026-09-05 13:10:05,nb15_reconnaissance,nb15_ter20,"Normal, Botnet",102300,0,18511,89,1860,0.9047,0.0,0.0,0.0,0.6734,0.1449,0.0,1.0,0.9952,0.0048
97,2026-09-05 13:10:20,nb15_reconnaissance,nb15_ter20,"Normal, DDoS",102300,0,18511,89,1860,0.9047,0.0,0.0,0.0,0.8115,0.2801,0.0,1.0,0.9952,0.0048
104,2026-09-05 13:10:34,nb15_reconnaissance,nb15_ter20,"Normal, Syn_DDoS",102300,0,18511,89,1860,0.9047,0.0,0.0,0.0,0.7958,0.2486,0.0,1.0,0.9952,0.0048
111,2026-09-05 13:10:48,nb15_reconnaissance,nb15_ter20,"Normal, UDP_DDoS",102300,0,18511,89,1860,0.9047,0.0,0.0,0.0,0.672,0.1568,0.0,1.0,0.9952,0.0048
