id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 17:19:32,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1494,18532,68,366,0.9788,0.9565,0.8032,0.8732,0.9839,0.9228,0.8032,0.1968,0.9963,0.0037
2,2026-07-16 17:19:34,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1331,18563,37,529,0.9723,0.973,0.7156,0.8247,0.971,0.8746,0.7156,0.2844,0.998,0.002
3,2026-07-16 17:19:36,nb15_exploits,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,719,18516,84,1141,0.9401,0.8954,0.3866,0.54,0.9617,0.7933,0.3866,0.6134,0.9955,0.0045
4,2026-07-16 17:19:38,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,469,18393,207,1391,0.9219,0.6938,0.2522,0.3699,0.8972,0.5688,0.2522,0.7478,0.9889,0.0111
5,2026-07-16 17:19:40,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1038,18589,11,822,0.9593,0.9895,0.5581,0.7136,0.9512,0.8213,0.5581,0.4419,0.9994,0.0006
6,2026-07-16 17:19:42,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1244,18525,75,616,0.9662,0.9431,0.6688,0.7826,0.9319,0.8042,0.6688,0.3312,0.996,0.004
7,2026-07-16 17:19:43,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1483,18533,67,377,0.9783,0.9568,0.7973,0.8698,0.9839,0.9242,0.7973,0.2027,0.9964,0.0036
8,2026-07-16 17:19:45,nb15_aggregate,nb15,"Normal, DoS",102300,1665,18532,68,195,0.9871,0.9608,0.8952,0.9268,0.9931,0.9591,0.8952,0.1048,0.9963,0.0037
9,2026-07-16 17:19:47,nb15_dos,nb15,"Normal, DoS",102300,1691,18563,37,169,0.9899,0.9786,0.9091,0.9426,0.9967,0.9798,0.9091,0.0909,0.998,0.002
10,2026-07-16 17:19:49,nb15_exploits,nb15,"Normal, DoS",102300,1689,18516,84,171,0.9875,0.9526,0.9081,0.9298,0.9946,0.9708,0.9081,0.0919,0.9955,0.0045
11,2026-07-16 17:19:51,nb15_fuzzers,nb15,"Normal, DoS",102300,1412,18393,207,448,0.968,0.8721,0.7591,0.8117,0.9316,0.8425,0.7591,0.2409,0.9889,0.0111
12,2026-07-16 17:19:52,nb15_generic,nb15,"Normal, DoS",102300,1182,18589,11,678,0.9663,0.9908,0.6355,0.7743,0.9775,0.9006,0.6355,0.3645,0.9994,0.0006
13,2026-07-16 17:19:54,nb15_reconnaissance,nb15,"Normal, DoS",102300,1446,18525,75,414,0.9761,0.9507,0.7774,0.8554,0.965,0.894,0.7774,0.2226,0.996,0.004
14,2026-07-16 17:19:56,injection_aggregate,nb15,"Normal, DoS",102300,1663,18533,67,197,0.9871,0.9613,0.8941,0.9265,0.9928,0.9631,0.8941,0.1059,0.9964,0.0036
15,2026-07-16 17:19:58,nb15_aggregate,nb15,"Normal, Exploits",102300,1531,18532,68,329,0.9806,0.9575,0.8231,0.8852,0.9902,0.9423,0.8231,0.1769,0.9963,0.0037
16,2026-07-16 17:20:00,nb15_dos,nb15,"Normal, Exploits",102300,1402,18563,37,458,0.9758,0.9743,0.7538,0.85,0.9904,0.9437,0.7538,0.2462,0.998,0.002
17,2026-07-16 17:20:02,nb15_exploits,nb15,"Normal, Exploits",102300,1620,18516,84,240,0.9842,0.9507,0.871,0.9091,0.995,0.9669,0.871,0.129,0.9955,0.0045
18,2026-07-16 17:20:04,nb15_fuzzers,nb15,"Normal, Exploits",102300,667,18393,207,1193,0.9316,0.7632,0.3586,0.4879,0.7755,0.5062,0.3586,0.6414,0.9889,0.0111
19,2026-07-16 17:20:06,nb15_generic,nb15,"Normal, Exploits",102300,637,18589,11,1223,0.9397,0.983,0.3425,0.508,0.9616,0.8328,0.3425,0.6575,0.9994,0.0006
20,2026-07-16 17:20:08,nb15_reconnaissance,nb15,"Normal, Exploits",102300,730,18525,75,1130,0.9411,0.9068,0.3925,0.5478,0.8853,0.6645,0.3925,0.6075,0.996,0.004
21,2026-07-16 17:20:09,injection_aggregate,nb15,"Normal, Exploits",102300,1525,18533,67,335,0.9804,0.9579,0.8199,0.8835,0.9901,0.9454,0.8199,0.1801,0.9964,0.0036
22,2026-07-16 17:20:11,nb15_aggregate,nb15,"Normal, Fuzzers",102300,332,18532,68,1528,0.922,0.83,0.1785,0.2938,0.9256,0.57,0.1785,0.8215,0.9963,0.0037
23,2026-07-16 17:20:13,nb15_dos,nb15,"Normal, Fuzzers",102300,256,18563,37,1604,0.9198,0.8737,0.1376,0.2378,0.8909,0.4649,0.1376,0.8624,0.998,0.002
24,2026-07-16 17:20:15,nb15_exploits,nb15,"Normal, Fuzzers",102300,299,18516,84,1561,0.9196,0.7807,0.1608,0.2666,0.8835,0.4495,0.1608,0.8392,0.9955,0.0045
25,2026-07-16 17:20:17,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,663,18393,207,1197,0.9314,0.7621,0.3565,0.4857,0.9427,0.6537,0.3565,0.6435,0.9889,0.0111
26,2026-07-16 17:20:19,nb15_generic,nb15,"Normal, Fuzzers",102300,175,18589,11,1685,0.9171,0.9409,0.0941,0.1711,0.8782,0.449,0.0941,0.9059,0.9994,0.0006
27,2026-07-16 17:20:20,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,257,18525,75,1603,0.918,0.7741,0.1382,0.2345,0.8192,0.3725,0.1382,0.8618,0.996,0.004
28,2026-07-16 17:20:23,injection_aggregate,nb15,"Normal, Fuzzers",102300,339,18533,67,1521,0.9224,0.835,0.1823,0.2992,0.9262,0.5768,0.1823,0.8177,0.9964,0.0036
29,2026-07-16 17:20:25,nb15_aggregate,nb15,"Normal, Generic",102300,1842,18532,68,18,0.9958,0.9644,0.9903,0.9772,0.9993,0.9966,0.9903,0.0097,0.9963,0.0037
30,2026-07-16 17:20:26,nb15_dos,nb15,"Normal, Generic",102300,1837,18563,37,23,0.9971,0.9803,0.9876,0.9839,0.9982,0.9679,0.9876,0.0124,0.998,0.002
31,2026-07-16 17:20:28,nb15_exploits,nb15,"Normal, Generic",102300,47,18516,84,1813,0.9073,0.3588,0.0253,0.0472,0.9794,0.7504,0.0253,0.9747,0.9955,0.0045
32,2026-07-16 17:20:30,nb15_fuzzers,nb15,"Normal, Generic",102300,16,18393,207,1844,0.8998,0.0717,0.0086,0.0154,0.9417,0.4853,0.0086,0.9914,0.9889,0.0111
33,2026-07-16 17:20:32,nb15_generic,nb15,"Normal, Generic",102300,1836,18589,11,24,0.9983,0.994,0.9871,0.9906,0.9994,0.9973,0.9871,0.0129,0.9994,0.0006
34,2026-07-16 17:20:34,nb15_reconnaissance,nb15,"Normal, Generic",102300,1819,18525,75,41,0.9943,0.9604,0.978,0.9691,0.9955,0.9697,0.978,0.022,0.996,0.004
35,2026-07-16 17:20:35,injection_aggregate,nb15,"Normal, Generic",102300,1841,18533,67,19,0.9958,0.9649,0.9898,0.9772,0.9993,0.9967,0.9898,0.0102,0.9964,0.0036
36,2026-07-16 17:20:37,nb15_aggregate,nb15,"Normal, Reconnaissance",102300,1639,18532,68,221,0.9859,0.9602,0.8812,0.919,0.9955,0.955,0.8812,0.1188,0.9963,0.0037
