id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-16 17:34:12,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1492,18533,67,368,0.9787,0.957,0.8022,0.8728,0.9839,0.9245,0.8022,0.1978,0.9964,0.0036
14,2026-07-16 17:34:24,injection_aggregate,nb15,"Normal, DoS",102300,1666,18533,67,194,0.9872,0.9613,0.8957,0.9274,0.9931,0.9641,0.8957,0.1043,0.9964,0.0036
21,2026-07-16 17:34:37,injection_aggregate,nb15,"Normal, Exploits",102300,1529,18533,67,331,0.9805,0.958,0.822,0.8848,0.9899,0.9441,0.822,0.178,0.9964,0.0036
28,2026-07-16 17:34:50,injection_aggregate,nb15,"Normal, Fuzzers",102300,348,18533,67,1512,0.9228,0.8386,0.1871,0.3059,0.9259,0.5805,0.1871,0.8129,0.9964,0.0036
35,2026-07-16 17:35:02,injection_aggregate,nb15,"Normal, Generic",102300,1841,18533,67,19,0.9958,0.9649,0.9898,0.9772,0.9993,0.9967,0.9898,0.0102,0.9964,0.0036
42,2026-07-16 17:35:16,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1638,18533,67,222,0.9859,0.9607,0.8806,0.9189,0.9954,0.9585,0.8806,0.1194,0.9964,0.0036
49,2026-07-16 17:35:29,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1498,18533,67,362,0.979,0.9572,0.8054,0.8747,0.9862,0.9313,0.8054,0.1946,0.9964,0.0036
56,2026-07-16 17:35:43,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1783,18533,67,77,0.993,0.9638,0.9586,0.9612,0.9935,0.9756,0.9586,0.0414,0.9964,0.0036
63,2026-07-16 17:35:56,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1852,18533,67,8,0.9963,0.9651,0.9957,0.9802,0.9996,0.9964,0.9957,0.0043,0.9964,0.0036
70,2026-07-16 17:36:08,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1758,18533,67,102,0.9917,0.9633,0.9452,0.9541,0.9907,0.9659,0.9452,0.0548,0.9964,0.0036
77,2026-07-16 17:36:20,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1832,18533,67,28,0.9954,0.9647,0.9849,0.9747,0.9992,0.9921,0.9849,0.0151,0.9964,0.0036
84,2026-07-16 17:36:33,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,1.0,0.9998,1.0,0.0,0.9964,0.0036
91,2026-07-16 17:36:46,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,0.9999,0.9992,1.0,0.0,0.9964,0.0036
98,2026-07-16 17:36:59,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1860,18533,67,0,0.9967,0.9652,1.0,0.9823,1.0,0.9995,1.0,0.0,0.9964,0.0036
105,2026-07-16 17:37:11,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1090,18533,67,770,0.9591,0.9421,0.586,0.7226,0.9247,0.7293,0.586,0.414,0.9964,0.0036
112,2026-07-16 17:37:23,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1770,18533,67,90,0.9923,0.9635,0.9516,0.9575,0.9972,0.9786,0.9516,0.0484,0.9964,0.0036
