id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-16 17:34:06,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,468,18407,193,1392,0.9225,0.708,0.2516,0.3713,0.8989,0.567,0.2516,0.7484,0.9896,0.0104
11,2026-07-16 17:34:19,nb15_fuzzers,nb15,"Normal, DoS",102300,1414,18407,193,446,0.9688,0.8799,0.7602,0.8157,0.9351,0.843,0.7602,0.2398,0.9896,0.0104
18,2026-07-16 17:34:32,nb15_fuzzers,nb15,"Normal, Exploits",102300,674,18407,193,1186,0.9326,0.7774,0.3624,0.4943,0.7821,0.5043,0.3624,0.6376,0.9896,0.0104
25,2026-07-16 17:34:44,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,622,18407,193,1238,0.9301,0.7632,0.3344,0.465,0.9424,0.6495,0.3344,0.6656,0.9896,0.0104
32,2026-07-16 17:34:57,nb15_fuzzers,nb15,"Normal, Generic",102300,16,18407,193,1844,0.9004,0.0766,0.0086,0.0155,0.9381,0.4648,0.0086,0.9914,0.9896,0.0104
39,2026-07-16 17:35:11,nb15_fuzzers,nb15,"Normal, Reconnaissance",102300,273,18407,193,1587,0.913,0.5858,0.1468,0.2347,0.9305,0.5116,0.1468,0.8532,0.9896,0.0104
46,2026-07-16 17:35:24,nb15_fuzzers,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,461,18407,193,1399,0.9222,0.7049,0.2478,0.3667,0.8957,0.5635,0.2478,0.7522,0.9896,0.0104
53,2026-07-16 17:35:38,nb15_fuzzers,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,576,18407,193,1284,0.9278,0.749,0.3097,0.4382,0.8621,0.5746,0.3097,0.6903,0.9896,0.0104
60,2026-07-16 17:35:50,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,532,18407,193,1328,0.9257,0.7338,0.286,0.4116,0.8152,0.4636,0.286,0.714,0.9896,0.0104
67,2026-07-16 17:36:03,nb15_fuzzers,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,620,18407,193,1240,0.93,0.7626,0.3333,0.4639,0.8978,0.6522,0.3333,0.6667,0.9896,0.0104
74,2026-07-16 17:36:15,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS",102300,0,18407,193,1860,0.8997,0.0,0.0,0.0,0.6204,0.1457,0.0,1.0,0.9896,0.0104
81,2026-07-16 17:36:28,nb15_fuzzers,nb15_sat20,"Normal, UDP_DDoS",102300,995,18407,193,865,0.9483,0.8375,0.5349,0.6529,0.9871,0.818,0.5349,0.4651,0.9896,0.0104
88,2026-07-16 17:36:41,nb15_fuzzers,nb15_ter20,"Normal, Botnet",102300,1168,18407,193,692,0.9567,0.8582,0.628,0.7252,0.9891,0.9043,0.628,0.372,0.9896,0.0104
95,2026-07-16 17:36:53,nb15_fuzzers,nb15_ter20,"Normal, DDoS",102300,575,18407,193,1285,0.9278,0.7487,0.3091,0.4376,0.9749,0.7818,0.3091,0.6909,0.9896,0.0104
102,2026-07-16 17:37:06,nb15_fuzzers,nb15_ter20,"Normal, Syn_DDoS",102300,0,18407,193,1860,0.8997,0.0,0.0,0.0,0.6381,0.1461,0.0,1.0,0.9896,0.0104
109,2026-07-16 17:37:18,nb15_fuzzers,nb15_ter20,"Normal, UDP_DDoS",102300,0,18407,193,1860,0.8997,0.0,0.0,0.0,0.6214,0.1406,0.0,1.0,0.9896,0.0104
