id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 16:05:22,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1533,18443,157,327,0.9763,0.9071,0.8242,0.8637,0.969,0.9074,0.8242,0.1758,0.9916,0.0084
8,2026-07-16 16:05:37,nb15_aggregate,nb15,"Normal, DoS",102300,1722,18443,157,138,0.9856,0.9164,0.9258,0.9211,0.9898,0.96,0.9258,0.0742,0.9916,0.0084
15,2026-07-16 16:05:51,nb15_aggregate,nb15,"Normal, Exploits",102300,1597,18443,157,263,0.9795,0.9105,0.8586,0.8838,0.9849,0.936,0.8586,0.1414,0.9916,0.0084
22,2026-07-16 16:06:06,nb15_aggregate,nb15,"Normal, Fuzzers",102300,441,18443,157,1419,0.923,0.7375,0.2371,0.3588,0.8495,0.5148,0.2371,0.7629,0.9916,0.0084
29,2026-07-16 16:06:21,nb15_aggregate,nb15,"Normal, Generic",102300,1845,18443,157,15,0.9916,0.9216,0.9919,0.9555,0.9989,0.9928,0.9919,0.0081,0.9916,0.0084
36,2026-07-16 16:06:35,nb15_aggregate,nb15,"Normal, Reconnaissance",102300,1603,18443,157,257,0.9798,0.9108,0.8618,0.8856,0.9908,0.9504,0.8618,0.1382,0.9916,0.0084
43,2026-07-16 16:06:51,nb15_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1544,18443,157,316,0.9769,0.9077,0.8301,0.8672,0.9741,0.9152,0.8301,0.1699,0.9916,0.0084
50,2026-07-16 16:07:06,nb15_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,701,18443,157,1159,0.9357,0.817,0.3769,0.5158,0.9683,0.6924,0.3769,0.6231,0.9916,0.0084
57,2026-07-16 16:07:21,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,524,18443,157,1336,0.927,0.7695,0.2817,0.4124,0.958,0.6512,0.2817,0.7183,0.9916,0.0084
64,2026-07-16 16:07:36,nb15_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,872,18443,157,988,0.944,0.8474,0.4688,0.6037,0.976,0.7435,0.4688,0.5312,0.9916,0.0084
71,2026-07-16 16:07:51,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,0,18443,157,1860,0.9014,0.0,0.0,0.0,0.9217,0.4432,0.0,1.0,0.9916,0.0084
78,2026-07-16 16:08:06,nb15_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,983,18443,157,877,0.9495,0.8623,0.5285,0.6553,0.9899,0.8474,0.5285,0.4715,0.9916,0.0084
85,2026-07-16 16:08:21,nb15_aggregate,nb15_ter20,"Normal, Botnet",102300,1072,18443,157,788,0.9538,0.8723,0.5763,0.6941,0.9899,0.8439,0.5763,0.4237,0.9916,0.0084
92,2026-07-16 16:08:35,nb15_aggregate,nb15_ter20,"Normal, DDoS",102300,1151,18443,157,709,0.9577,0.88,0.6188,0.7266,0.9858,0.8122,0.6188,0.3812,0.9916,0.0084
99,2026-07-16 16:08:49,nb15_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,0,18443,157,1860,0.9014,0.0,0.0,0.0,0.9576,0.5911,0.0,1.0,0.9916,0.0084
106,2026-07-16 16:09:03,nb15_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,0,18443,157,1860,0.9014,0.0,0.0,0.0,0.9156,0.4154,0.0,1.0,0.9916,0.0084
