id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-16 16:05:32,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1212,18527,73,648,0.9648,0.9432,0.6516,0.7707,0.8977,0.7813,0.6516,0.3484,0.9961,0.0039
13,2026-07-16 16:05:47,nb15_reconnaissance,nb15,"Normal, DoS",102300,1459,18527,73,401,0.9768,0.9523,0.7844,0.8603,0.9499,0.8875,0.7844,0.2156,0.9961,0.0039
20,2026-07-16 16:06:02,nb15_reconnaissance,nb15,"Normal, Exploits",102300,797,18527,73,1063,0.9445,0.9161,0.4285,0.5839,0.8661,0.6963,0.4285,0.5715,0.9961,0.0039
27,2026-07-16 16:06:17,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,263,18527,73,1597,0.9184,0.7827,0.1414,0.2395,0.617,0.2571,0.1414,0.8586,0.9961,0.0039
34,2026-07-16 16:06:31,nb15_reconnaissance,nb15,"Normal, Generic",102300,1756,18527,73,104,0.9913,0.9601,0.9441,0.952,0.9927,0.9569,0.9441,0.0559,0.9961,0.0039
41,2026-07-16 16:06:47,nb15_reconnaissance,nb15,"Normal, Reconnaissance",102300,1755,18527,73,105,0.9913,0.9601,0.9435,0.9517,0.9953,0.9776,0.9435,0.0565,0.9961,0.0039
48,2026-07-16 16:07:01,nb15_reconnaissance,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1224,18527,73,636,0.9653,0.9437,0.6581,0.7754,0.8977,0.7808,0.6581,0.3419,0.9961,0.0039
55,2026-07-16 16:07:16,nb15_reconnaissance,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,8,18527,73,1852,0.9059,0.0988,0.0043,0.0082,0.8467,0.5533,0.0043,0.9957,0.9961,0.0039
62,2026-07-16 16:07:32,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,29,18527,73,1831,0.9069,0.2843,0.0156,0.0296,0.9865,0.8214,0.0156,0.9844,0.9961,0.0039
69,2026-07-16 16:07:46,nb15_reconnaissance,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,0,18527,73,1860,0.9055,0.0,0.0,0.0,0.7455,0.3751,0.0,1.0,0.9961,0.0039
76,2026-07-16 16:08:02,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS",102300,0,18527,73,1860,0.9055,0.0,0.0,0.0,0.9891,0.8247,0.0,1.0,0.9961,0.0039
83,2026-07-16 16:08:16,nb15_reconnaissance,nb15_sat20,"Normal, UDP_DDoS",102300,38,18527,73,1822,0.9074,0.3423,0.0204,0.0386,0.9836,0.8453,0.0204,0.9796,0.9961,0.0039
90,2026-07-16 16:08:31,nb15_reconnaissance,nb15_ter20,"Normal, Botnet",102300,4,18527,73,1856,0.9057,0.0519,0.0022,0.0041,0.5701,0.1733,0.0022,0.9978,0.9961,0.0039
97,2026-07-16 16:08:45,nb15_reconnaissance,nb15_ter20,"Normal, DDoS",102300,0,18527,73,1860,0.9055,0.0,0.0,0.0,0.7481,0.3767,0.0,1.0,0.9961,0.0039
104,2026-07-16 16:08:59,nb15_reconnaissance,nb15_ter20,"Normal, Syn_DDoS",102300,0,18527,73,1860,0.9055,0.0,0.0,0.0,0.9902,0.8598,0.0,1.0,0.9961,0.0039
111,2026-07-16 16:09:13,nb15_reconnaissance,nb15_ter20,"Normal, UDP_DDoS",102300,0,18527,73,1860,0.9055,0.0,0.0,0.0,0.9851,0.7884,0.0,1.0,0.9961,0.0039
