id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-16 16:27:56,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1335,18540,60,525,0.9714,0.957,0.7177,0.8203,0.9281,0.8408,0.7177,0.2823,0.9968,0.0032
9,2026-07-16 16:28:12,nb15_dos,nb15,"Normal, DoS",102300,1734,18540,60,126,0.9909,0.9666,0.9323,0.9491,0.9938,0.9792,0.9323,0.0677,0.9968,0.0032
16,2026-07-16 16:28:26,nb15_dos,nb15,"Normal, Exploits",102300,1362,18540,60,498,0.9727,0.9578,0.7323,0.83,0.9776,0.9276,0.7323,0.2677,0.9968,0.0032
23,2026-07-16 16:28:41,nb15_dos,nb15,"Normal, Fuzzers",102300,276,18540,60,1584,0.9196,0.8214,0.1484,0.2514,0.7171,0.3723,0.1484,0.8516,0.9968,0.0032
30,2026-07-16 16:28:57,nb15_dos,nb15,"Normal, Generic",102300,1837,18540,60,23,0.9959,0.9684,0.9876,0.9779,0.9977,0.9767,0.9876,0.0124,0.9968,0.0032
37,2026-07-16 16:29:11,nb15_dos,nb15,"Normal, Reconnaissance",102300,375,18540,60,1485,0.9245,0.8621,0.2016,0.3268,0.787,0.4954,0.2016,0.7984,0.9968,0.0032
44,2026-07-16 16:29:24,nb15_dos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1336,18540,60,524,0.9715,0.957,0.7183,0.8206,0.9318,0.8447,0.7183,0.2817,0.9968,0.0032
51,2026-07-16 16:29:38,nb15_dos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,747,18540,60,1113,0.9427,0.9257,0.4016,0.5602,0.9878,0.8781,0.4016,0.5984,0.9968,0.0032
58,2026-07-16 16:29:51,nb15_dos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1379,18540,60,481,0.9736,0.9583,0.7414,0.836,0.9967,0.9439,0.7414,0.2586,0.9968,0.0032
65,2026-07-16 16:30:05,nb15_dos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,321,18540,60,1539,0.9218,0.8425,0.1726,0.2865,0.9815,0.8191,0.1726,0.8274,0.9968,0.0032
72,2026-07-16 16:30:19,nb15_dos,nb15_sat20,"Normal, Syn_DDoS",102300,1310,18540,60,550,0.9702,0.9562,0.7043,0.8111,0.9969,0.9478,0.7043,0.2957,0.9968,0.0032
79,2026-07-16 16:30:32,nb15_dos,nb15_sat20,"Normal, UDP_DDoS",102300,1466,18540,60,394,0.9778,0.9607,0.7882,0.8659,0.996,0.9529,0.7882,0.2118,0.9968,0.0032
86,2026-07-16 16:30:46,nb15_dos,nb15_ter20,"Normal, Botnet",102300,154,18540,60,1706,0.9137,0.7196,0.0828,0.1485,0.9733,0.771,0.0828,0.9172,0.9968,0.0032
93,2026-07-16 16:30:59,nb15_dos,nb15_ter20,"Normal, DDoS",102300,102,18540,60,1758,0.9111,0.6296,0.0548,0.1009,0.9835,0.8147,0.0548,0.9452,0.9968,0.0032
100,2026-07-16 16:31:12,nb15_dos,nb15_ter20,"Normal, Syn_DDoS",102300,871,18540,60,989,0.9487,0.9356,0.4683,0.6241,0.995,0.912,0.4683,0.5317,0.9968,0.0032
107,2026-07-16 16:31:26,nb15_dos,nb15_ter20,"Normal, UDP_DDoS",102300,1162,18540,60,698,0.963,0.9509,0.6247,0.7541,0.9967,0.9435,0.6247,0.3753,0.9968,0.0032
