id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-16 16:28:03,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1085,18594,6,775,0.9618,0.9945,0.5833,0.7353,0.8784,0.7739,0.5833,0.4167,0.9997,0.0003
12,2026-07-16 16:28:18,nb15_generic,nb15,"Normal, DoS",102300,1348,18594,6,512,0.9747,0.9956,0.7247,0.8388,0.9463,0.8966,0.7247,0.2753,0.9997,0.0003
19,2026-07-16 16:28:32,nb15_generic,nb15,"Normal, Exploits",102300,685,18594,6,1175,0.9423,0.9913,0.3683,0.537,0.9211,0.8365,0.3683,0.6317,0.9997,0.0003
26,2026-07-16 16:28:47,nb15_generic,nb15,"Normal, Fuzzers",102300,218,18594,6,1642,0.9195,0.9732,0.1172,0.2092,0.6254,0.2944,0.1172,0.8828,0.9997,0.0003
33,2026-07-16 16:29:03,nb15_generic,nb15,"Normal, Generic",102300,1838,18594,6,22,0.9986,0.9967,0.9882,0.9924,0.9975,0.9954,0.9882,0.0118,0.9997,0.0003
40,2026-07-16 16:29:17,nb15_generic,nb15,"Normal, Reconnaissance",102300,257,18594,6,1603,0.9214,0.9772,0.1382,0.2421,0.614,0.2859,0.1382,0.8618,0.9997,0.0003
47,2026-07-16 16:29:30,nb15_generic,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1068,18594,6,792,0.961,0.9944,0.5742,0.728,0.8824,0.7799,0.5742,0.4258,0.9997,0.0003
54,2026-07-16 16:29:44,nb15_generic,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,194,18594,6,1666,0.9183,0.97,0.1043,0.1883,0.8502,0.6589,0.1043,0.8957,0.9997,0.0003
61,2026-07-16 16:29:58,nb15_generic,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,495,18594,6,1365,0.933,0.988,0.2661,0.4193,0.8876,0.7157,0.2661,0.7339,0.9997,0.0003
68,2026-07-16 16:30:11,nb15_generic,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,3,18594,6,1857,0.9089,0.3333,0.0016,0.0032,0.8173,0.6105,0.0016,0.9984,0.9997,0.0003
75,2026-07-16 16:30:25,nb15_generic,nb15_sat20,"Normal, Syn_DDoS",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.979,0.7913,0.0,1.0,0.9997,0.0003
82,2026-07-16 16:30:38,nb15_generic,nb15_sat20,"Normal, UDP_DDoS",102300,935,18594,6,925,0.9545,0.9936,0.5027,0.6676,0.8076,0.6433,0.5027,0.4973,0.9997,0.0003
89,2026-07-16 16:30:51,nb15_generic,nb15_ter20,"Normal, Botnet",102300,22,18594,6,1838,0.9099,0.7857,0.0118,0.0233,0.8999,0.7897,0.0118,0.9882,0.9997,0.0003
96,2026-07-16 16:31:05,nb15_generic,nb15_ter20,"Normal, DDoS",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.7383,0.4802,0.0,1.0,0.9997,0.0003
103,2026-07-16 16:31:18,nb15_generic,nb15_ter20,"Normal, Syn_DDoS",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.7956,0.5451,0.0,1.0,0.9997,0.0003
110,2026-07-16 16:31:31,nb15_generic,nb15_ter20,"Normal, UDP_DDoS",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.914,0.6747,0.0,1.0,0.9997,0.0003
