id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-16 16:13:18,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1530,18422,178,330,0.9752,0.8958,0.8226,0.8576,0.9695,0.9095,0.8226,0.1774,0.9904,0.0096
14,2026-07-16 16:13:32,injection_aggregate,nb15,"Normal, DoS",102300,1705,18422,178,155,0.9837,0.9055,0.9167,0.911,0.9898,0.9602,0.9167,0.0833,0.9904,0.0096
21,2026-07-16 16:13:46,injection_aggregate,nb15,"Normal, Exploits",102300,1598,18422,178,262,0.9785,0.8998,0.8591,0.879,0.9824,0.9342,0.8591,0.1409,0.9904,0.0096
28,2026-07-16 16:14:00,injection_aggregate,nb15,"Normal, Fuzzers",102300,450,18422,178,1410,0.9224,0.7166,0.2419,0.3617,0.8423,0.5099,0.2419,0.7581,0.9904,0.0096
35,2026-07-16 16:14:13,injection_aggregate,nb15,"Normal, Generic",102300,1843,18422,178,17,0.9905,0.9119,0.9909,0.9498,0.9991,0.9932,0.9909,0.0091,0.9904,0.0096
42,2026-07-16 16:14:26,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1596,18422,178,264,0.9784,0.8997,0.8581,0.8784,0.9895,0.9461,0.8581,0.1419,0.9904,0.0096
49,2026-07-16 16:14:40,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1531,18422,178,329,0.9752,0.8958,0.8231,0.8579,0.9722,0.9154,0.8231,0.1769,0.9904,0.0096
56,2026-07-16 16:14:54,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1851,18422,178,9,0.9909,0.9123,0.9952,0.9519,0.9989,0.9802,0.9952,0.0048,0.9904,0.0096
63,2026-07-16 16:15:07,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1859,18422,178,1,0.9913,0.9126,0.9995,0.9541,0.9993,0.9873,0.9995,0.0005,0.9904,0.0096
70,2026-07-16 16:15:21,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1842,18422,178,18,0.9904,0.9119,0.9903,0.9495,0.9986,0.9746,0.9903,0.0097,0.9904,0.0096
77,2026-07-16 16:15:34,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1860,18422,178,0,0.9913,0.9127,1.0,0.9543,0.9993,0.9902,1.0,0.0,0.9904,0.0096
84,2026-07-16 16:15:47,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1859,18422,178,1,0.9913,0.9126,0.9995,0.9541,0.9994,0.9898,0.9995,0.0005,0.9904,0.0096
91,2026-07-16 16:16:01,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1857,18422,178,3,0.9912,0.9125,0.9984,0.9535,0.998,0.9675,0.9984,0.0016,0.9904,0.0096
98,2026-07-16 16:16:15,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1860,18422,178,0,0.9913,0.9127,1.0,0.9543,0.9992,0.9834,1.0,0.0,0.9904,0.0096
105,2026-07-16 16:16:28,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1731,18422,178,129,0.985,0.9068,0.9306,0.9185,0.9979,0.966,0.9306,0.0694,0.9904,0.0096
112,2026-07-16 16:16:42,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1860,18422,178,0,0.9913,0.9127,1.0,0.9543,0.9989,0.9859,1.0,0.0,0.9904,0.0096
