id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 16:13:06,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1529,18445,155,331,0.9762,0.908,0.822,0.8629,0.9711,0.9086,0.822,0.178,0.9917,0.0083
2,2026-07-16 16:13:08,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1333,18541,59,527,0.9714,0.9576,0.7167,0.8198,0.9324,0.8441,0.7167,0.2833,0.9968,0.0032
3,2026-07-16 16:13:10,nb15_exploits,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,747,18492,108,1113,0.9403,0.8737,0.4016,0.5503,0.9173,0.739,0.4016,0.5984,0.9942,0.0058
4,2026-07-16 16:13:12,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,559,18013,587,1301,0.9077,0.4878,0.3005,0.3719,0.8914,0.5121,0.3005,0.6995,0.9684,0.0316
5,2026-07-16 16:13:14,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1081,18594,6,779,0.9616,0.9945,0.5812,0.7336,0.8804,0.7768,0.5812,0.4188,0.9997,0.0003
6,2026-07-16 16:13:15,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1212,18526,74,648,0.9647,0.9425,0.6516,0.7705,0.8907,0.7735,0.6516,0.3484,0.996,0.004
7,2026-07-16 16:13:18,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1530,18422,178,330,0.9752,0.8958,0.8226,0.8576,0.9695,0.9095,0.8226,0.1774,0.9904,0.0096
8,2026-07-16 16:13:20,nb15_aggregate,nb15,"Normal, DoS",102300,1719,18445,155,141,0.9855,0.9173,0.9242,0.9207,0.9897,0.961,0.9242,0.0758,0.9917,0.0083
9,2026-07-16 16:13:22,nb15_dos,nb15,"Normal, DoS",102300,1733,18541,59,127,0.9909,0.9671,0.9317,0.9491,0.9945,0.9791,0.9317,0.0683,0.9968,0.0032
10,2026-07-16 16:13:24,nb15_exploits,nb15,"Normal, DoS",102300,1727,18492,108,133,0.9882,0.9411,0.9285,0.9348,0.9899,0.9667,0.9285,0.0715,0.9942,0.0058
11,2026-07-16 16:13:26,nb15_fuzzers,nb15,"Normal, DoS",102300,1435,18013,587,425,0.9505,0.7097,0.7715,0.7393,0.9446,0.8445,0.7715,0.2285,0.9684,0.0316
