id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-16 16:09:28,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,564,18010,590,1296,0.9078,0.4887,0.3032,0.3743,0.8938,0.5158,0.3032,0.6968,0.9683,0.0317
11,2026-07-16 16:09:42,nb15_fuzzers,nb15,"Normal, DoS",102300,1435,18010,590,425,0.9504,0.7086,0.7715,0.7387,0.9465,0.8473,0.7715,0.2285,0.9683,0.0317
18,2026-07-16 16:09:56,nb15_fuzzers,nb15,"Normal, Exploits",102300,729,18010,590,1131,0.9159,0.5527,0.3919,0.4586,0.856,0.5462,0.3919,0.6081,0.9683,0.0317
25,2026-07-16 16:10:09,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,878,18010,590,982,0.9232,0.5981,0.472,0.5276,0.9178,0.609,0.472,0.528,0.9683,0.0317
32,2026-07-16 16:10:23,nb15_fuzzers,nb15,"Normal, Generic",102300,86,18010,590,1774,0.8845,0.1272,0.0462,0.0678,0.899,0.3424,0.0462,0.9538,0.9683,0.0317
39,2026-07-16 16:10:37,nb15_fuzzers,nb15,"Normal, Reconnaissance",102300,313,18010,590,1547,0.8956,0.3466,0.1683,0.2266,0.8437,0.37,0.1683,0.8317,0.9683,0.0317
46,2026-07-16 16:10:51,nb15_fuzzers,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,551,18010,590,1309,0.9072,0.4829,0.2962,0.3672,0.8938,0.5111,0.2962,0.7038,0.9683,0.0317
53,2026-07-16 16:11:05,nb15_fuzzers,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,986,18010,590,874,0.9284,0.6256,0.5301,0.5739,0.9449,0.6091,0.5301,0.4699,0.9683,0.0317
60,2026-07-16 16:11:19,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,782,18010,590,1078,0.9185,0.57,0.4204,0.4839,0.9315,0.5316,0.4204,0.5796,0.9683,0.0317
67,2026-07-16 16:11:32,nb15_fuzzers,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1160,18010,590,700,0.937,0.6629,0.6237,0.6427,0.9564,0.6832,0.6237,0.3763,0.9683,0.0317
74,2026-07-16 16:11:46,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS",102300,0,18010,590,1860,0.8803,0.0,0.0,0.0,0.8742,0.3186,0.0,1.0,0.9683,0.0317
81,2026-07-16 16:11:59,nb15_fuzzers,nb15_sat20,"Normal, UDP_DDoS",102300,1445,18010,590,415,0.9509,0.7101,0.7769,0.742,0.9814,0.768,0.7769,0.2231,0.9683,0.0317
88,2026-07-16 16:12:13,nb15_fuzzers,nb15_ter20,"Normal, Botnet",102300,1704,18010,590,156,0.9635,0.7428,0.9161,0.8204,0.9896,0.886,0.9161,0.0839,0.9683,0.0317
95,2026-07-16 16:12:27,nb15_fuzzers,nb15_ter20,"Normal, DDoS",102300,1458,18010,590,402,0.9515,0.7119,0.7839,0.7462,0.9756,0.7534,0.7839,0.2161,0.9683,0.0317
102,2026-07-16 16:12:40,nb15_fuzzers,nb15_ter20,"Normal, Syn_DDoS",102300,0,18010,590,1860,0.8803,0.0,0.0,0.0,0.8752,0.3054,0.0,1.0,0.9683,0.0317
109,2026-07-16 16:12:53,nb15_fuzzers,nb15_ter20,"Normal, UDP_DDoS",102300,0,18010,590,1860,0.8803,0.0,0.0,0.0,0.8753,0.315,0.0,1.0,0.9683,0.0317
