id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
2,2026-07-16 16:01:47,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1328,18540,60,532,0.9711,0.9568,0.714,0.8177,0.9292,0.8419,0.714,0.286,0.9968,0.0032
9,2026-07-16 16:01:58,nb15_dos,nb15,"Normal, DoS",102300,1735,18540,60,125,0.991,0.9666,0.9328,0.9494,0.9945,0.9798,0.9328,0.0672,0.9968,0.0032
16,2026-07-16 16:02:10,nb15_dos,nb15,"Normal, Exploits",102300,1354,18540,60,506,0.9723,0.9576,0.728,0.8271,0.9755,0.9258,0.728,0.272,0.9968,0.0032
23,2026-07-16 16:02:23,nb15_dos,nb15,"Normal, Fuzzers",102300,276,18540,60,1584,0.9196,0.8214,0.1484,0.2514,0.7281,0.3821,0.1484,0.8516,0.9968,0.0032
30,2026-07-16 16:02:36,nb15_dos,nb15,"Normal, Generic",102300,1836,18540,60,24,0.9959,0.9684,0.9871,0.9776,0.9977,0.9735,0.9871,0.0129,0.9968,0.0032
37,2026-07-16 16:02:49,nb15_dos,nb15,"Normal, Reconnaissance",102300,370,18540,60,1490,0.9242,0.8605,0.1989,0.3231,0.7898,0.4987,0.1989,0.8011,0.9968,0.0032
44,2026-07-16 16:03:02,nb15_dos,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1338,18540,60,522,0.9716,0.9571,0.7194,0.8214,0.9341,0.8466,0.7194,0.2806,0.9968,0.0032
51,2026-07-16 16:03:16,nb15_dos,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,770,18540,60,1090,0.9438,0.9277,0.414,0.5725,0.9863,0.8667,0.414,0.586,0.9968,0.0032
58,2026-07-16 16:03:30,nb15_dos,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1473,18540,60,387,0.9782,0.9609,0.7919,0.8683,0.9964,0.9378,0.7919,0.2081,0.9968,0.0032
65,2026-07-16 16:03:43,nb15_dos,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,271,18540,60,1589,0.9194,0.8187,0.1457,0.2474,0.9773,0.8031,0.1457,0.8543,0.9968,0.0032
72,2026-07-16 16:03:57,nb15_dos,nb15_sat20,"Normal, Syn_DDoS",102300,1310,18540,60,550,0.9702,0.9562,0.7043,0.8111,0.9967,0.9412,0.7043,0.2957,0.9968,0.0032
79,2026-07-16 16:04:11,nb15_dos,nb15_sat20,"Normal, UDP_DDoS",102300,1653,18540,60,207,0.987,0.965,0.8887,0.9253,0.9963,0.9488,0.8887,0.1113,0.9968,0.0032
86,2026-07-16 16:04:24,nb15_dos,nb15_ter20,"Normal, Botnet",102300,262,18540,60,1598,0.919,0.8137,0.1409,0.2401,0.9711,0.7642,0.1409,0.8591,0.9968,0.0032
93,2026-07-16 16:04:39,nb15_dos,nb15_ter20,"Normal, DDoS",102300,131,18540,60,1729,0.9126,0.6859,0.0704,0.1277,0.9775,0.7952,0.0704,0.9296,0.9968,0.0032
100,2026-07-16 16:04:52,nb15_dos,nb15_ter20,"Normal, Syn_DDoS",102300,104,18540,60,1756,0.9112,0.6341,0.0559,0.1028,0.9945,0.9089,0.0559,0.9441,0.9968,0.0032
107,2026-07-16 16:05:06,nb15_dos,nb15_ter20,"Normal, UDP_DDoS",102300,1162,18540,60,698,0.963,0.9509,0.6247,0.7541,0.9966,0.9368,0.6247,0.3753,0.9968,0.0032
