id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
7,2026-07-16 16:17:00,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1534,18429,171,326,0.9757,0.8997,0.8247,0.8606,0.9705,0.9114,0.8247,0.1753,0.9908,0.0092
14,2026-07-16 16:17:13,injection_aggregate,nb15,"Normal, DoS",102300,1709,18429,171,151,0.9843,0.909,0.9188,0.9139,0.99,0.9629,0.9188,0.0812,0.9908,0.0092
21,2026-07-16 16:17:27,injection_aggregate,nb15,"Normal, Exploits",102300,1598,18429,171,262,0.9788,0.9033,0.8591,0.8807,0.9837,0.9368,0.8591,0.1409,0.9908,0.0092
28,2026-07-16 16:17:41,injection_aggregate,nb15,"Normal, Fuzzers",102300,457,18429,171,1403,0.9231,0.7277,0.2457,0.3674,0.8481,0.5167,0.2457,0.7543,0.9908,0.0092
35,2026-07-16 16:17:54,injection_aggregate,nb15,"Normal, Generic",102300,1844,18429,171,16,0.9909,0.9151,0.9914,0.9517,0.9992,0.9949,0.9914,0.0086,0.9908,0.0092
42,2026-07-16 16:18:07,injection_aggregate,nb15,"Normal, Reconnaissance",102300,1600,18429,171,260,0.9789,0.9034,0.8602,0.8813,0.9896,0.9473,0.8602,0.1398,0.9908,0.0092
49,2026-07-16 16:18:21,injection_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1537,18429,171,323,0.9759,0.8999,0.8263,0.8615,0.9736,0.9192,0.8263,0.1737,0.9908,0.0092
56,2026-07-16 16:18:35,injection_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1796,18429,171,64,0.9885,0.9131,0.9656,0.9386,0.9984,0.9753,0.9656,0.0344,0.9908,0.0092
63,2026-07-16 16:18:49,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,1858,18429,171,2,0.9915,0.9157,0.9989,0.9555,0.9989,0.9823,0.9989,0.0011,0.9908,0.0092
70,2026-07-16 16:19:03,injection_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1755,18429,171,105,0.9865,0.9112,0.9435,0.9271,0.9982,0.9717,0.9435,0.0565,0.9908,0.0092
77,2026-07-16 16:19:16,injection_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,1844,18429,171,16,0.9909,0.9151,0.9914,0.9517,0.9987,0.9791,0.9914,0.0086,0.9908,0.0092
84,2026-07-16 16:19:30,injection_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,1860,18429,171,0,0.9916,0.9158,1.0,0.9561,0.9991,0.9864,1.0,0.0,0.9908,0.0092
91,2026-07-16 16:19:44,injection_aggregate,nb15_ter20,"Normal, Botnet",102300,1634,18429,171,226,0.9806,0.9053,0.8785,0.8917,0.9974,0.9614,0.8785,0.1215,0.9908,0.0092
98,2026-07-16 16:19:57,injection_aggregate,nb15_ter20,"Normal, DDoS",102300,1860,18429,171,0,0.9916,0.9158,1.0,0.9561,0.9991,0.9849,1.0,0.0,0.9908,0.0092
105,2026-07-16 16:20:11,injection_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,1710,18429,171,150,0.9843,0.9091,0.9194,0.9142,0.9975,0.9558,0.9194,0.0806,0.9908,0.0092
112,2026-07-16 16:20:25,injection_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,1770,18429,171,90,0.9872,0.9119,0.9516,0.9313,0.9976,0.9684,0.9516,0.0484,0.9908,0.0092
