id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
4,2026-07-16 16:20:37,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,560,18016,584,1300,0.9079,0.4895,0.3011,0.3728,0.8968,0.5186,0.3011,0.6989,0.9686,0.0314
11,2026-07-16 16:20:50,nb15_fuzzers,nb15,"Normal, DoS",102300,1438,18016,584,422,0.9508,0.7112,0.7731,0.7409,0.9475,0.8467,0.7731,0.2269,0.9686,0.0314
18,2026-07-16 16:21:04,nb15_fuzzers,nb15,"Normal, Exploits",102300,735,18016,584,1125,0.9165,0.5572,0.3952,0.4624,0.8632,0.5496,0.3952,0.6048,0.9686,0.0314
25,2026-07-16 16:21:17,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,876,18016,584,984,0.9234,0.6,0.471,0.5277,0.9157,0.6058,0.471,0.529,0.9686,0.0314
32,2026-07-16 16:21:31,nb15_fuzzers,nb15,"Normal, Generic",102300,85,18016,584,1775,0.8847,0.1271,0.0457,0.0672,0.9007,0.3457,0.0457,0.9543,0.9686,0.0314
39,2026-07-16 16:21:44,nb15_fuzzers,nb15,"Normal, Reconnaissance",102300,311,18016,584,1549,0.8957,0.3475,0.1672,0.2258,0.8553,0.3859,0.1672,0.8328,0.9686,0.0314
46,2026-07-16 16:21:57,nb15_fuzzers,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,553,18016,584,1307,0.9076,0.4864,0.2973,0.369,0.8968,0.5138,0.2973,0.7027,0.9686,0.0314
53,2026-07-16 16:22:11,nb15_fuzzers,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,1048,18016,584,812,0.9318,0.6422,0.5634,0.6002,0.9464,0.5675,0.5634,0.4366,0.9686,0.0314
60,2026-07-16 16:22:24,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,927,18016,584,933,0.9259,0.6135,0.4984,0.55,0.9356,0.5282,0.4984,0.5016,0.9686,0.0314
67,2026-07-16 16:22:38,nb15_fuzzers,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,1166,18016,584,694,0.9375,0.6663,0.6269,0.646,0.9559,0.6267,0.6269,0.3731,0.9686,0.0314
74,2026-07-16 16:22:51,nb15_fuzzers,nb15_sat20,"Normal, Syn_DDoS",102300,0,18016,584,1860,0.8805,0.0,0.0,0.0,0.884,0.3346,0.0,1.0,0.9686,0.0314
81,2026-07-16 16:23:05,nb15_fuzzers,nb15_sat20,"Normal, UDP_DDoS",102300,1734,18016,584,126,0.9653,0.7481,0.9323,0.8301,0.9802,0.7495,0.9323,0.0677,0.9686,0.0314
88,2026-07-16 16:23:19,nb15_fuzzers,nb15_ter20,"Normal, Botnet",102300,1704,18016,584,156,0.9638,0.7448,0.9161,0.8216,0.9869,0.8194,0.9161,0.0839,0.9686,0.0314
95,2026-07-16 16:23:32,nb15_fuzzers,nb15_ter20,"Normal, DDoS",102300,1464,18016,584,396,0.9521,0.7148,0.7871,0.7492,0.9726,0.6856,0.7871,0.2129,0.9686,0.0314
102,2026-07-16 16:23:46,nb15_fuzzers,nb15_ter20,"Normal, Syn_DDoS",102300,0,18016,584,1860,0.8805,0.0,0.0,0.0,0.8818,0.3131,0.0,1.0,0.9686,0.0314
109,2026-07-16 16:23:59,nb15_fuzzers,nb15_ter20,"Normal, UDP_DDoS",102300,0,18016,584,1860,0.8805,0.0,0.0,0.0,0.885,0.3223,0.0,1.0,0.9686,0.0314
