id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
5,2026-07-16 16:35:33,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1077,18594,6,783,0.9614,0.9945,0.579,0.7319,0.8814,0.7781,0.579,0.421,0.9997,0.0003
12,2026-07-16 16:35:48,nb15_generic,nb15,"Normal, DoS",102300,1340,18594,6,520,0.9743,0.9955,0.7204,0.8359,0.9537,0.908,0.7204,0.2796,0.9997,0.0003
19,2026-07-16 16:36:02,nb15_generic,nb15,"Normal, Exploits",102300,676,18594,6,1184,0.9418,0.9912,0.3634,0.5319,0.9274,0.8465,0.3634,0.6366,0.9997,0.0003
26,2026-07-16 16:36:16,nb15_generic,nb15,"Normal, Fuzzers",102300,216,18594,6,1644,0.9194,0.973,0.1161,0.2075,0.6266,0.2934,0.1161,0.8839,0.9997,0.0003
33,2026-07-16 16:36:30,nb15_generic,nb15,"Normal, Generic",102300,1835,18594,6,25,0.9985,0.9967,0.9866,0.9916,0.9975,0.9955,0.9866,0.0134,0.9997,0.0003
40,2026-07-16 16:36:45,nb15_generic,nb15,"Normal, Reconnaissance",102300,256,18594,6,1604,0.9213,0.9771,0.1376,0.2413,0.6018,0.2712,0.1376,0.8624,0.9997,0.0003
47,2026-07-16 16:36:58,nb15_generic,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1063,18594,6,797,0.9608,0.9944,0.5715,0.7258,0.8857,0.7845,0.5715,0.4285,0.9997,0.0003
54,2026-07-16 16:37:12,nb15_generic,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,193,18594,6,1667,0.9182,0.9698,0.1038,0.1875,0.8184,0.5996,0.1038,0.8962,0.9997,0.0003
61,2026-07-16 16:37:26,nb15_generic,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,494,18594,6,1366,0.9329,0.988,0.2656,0.4186,0.8451,0.6307,0.2656,0.7344,0.9997,0.0003
68,2026-07-16 16:37:40,nb15_generic,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,2,18594,6,1858,0.9089,0.25,0.0011,0.0021,0.7956,0.5703,0.0011,0.9989,0.9997,0.0003
75,2026-07-16 16:37:54,nb15_generic,nb15_sat20,"Normal, Syn_DDoS",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.8946,0.5984,0.0,1.0,0.9997,0.0003
82,2026-07-16 16:38:09,nb15_generic,nb15_sat20,"Normal, UDP_DDoS",102300,934,18594,6,926,0.9544,0.9936,0.5022,0.6671,0.8058,0.6355,0.5022,0.4978,0.9997,0.0003
89,2026-07-16 16:38:22,nb15_generic,nb15_ter20,"Normal, Botnet",102300,22,18594,6,1838,0.9099,0.7857,0.0118,0.0233,0.881,0.7522,0.0118,0.9882,0.9997,0.0003
96,2026-07-16 16:38:36,nb15_generic,nb15_ter20,"Normal, DDoS",102300,1,18594,6,1859,0.9088,0.1429,0.0005,0.0011,0.7249,0.4556,0.0005,0.9995,0.9997,0.0003
103,2026-07-16 16:38:50,nb15_generic,nb15_ter20,"Normal, Syn_DDoS",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.7657,0.5032,0.0,1.0,0.9997,0.0003
110,2026-07-16 16:39:03,nb15_generic,nb15_ter20,"Normal, UDP_DDoS",102300,0,18594,6,1860,0.9088,0.0,0.0,0.0,0.8499,0.5309,0.0,1.0,0.9997,0.0003
