id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
6,2026-07-16 16:31:51,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1252,18530,70,608,0.9669,0.947,0.6731,0.7869,0.8944,0.7785,0.6731,0.3269,0.9962,0.0038
13,2026-07-16 16:32:05,nb15_reconnaissance,nb15,"Normal, DoS",102300,1453,18530,70,407,0.9767,0.954,0.7812,0.859,0.9488,0.8863,0.7812,0.2188,0.9962,0.0038
20,2026-07-16 16:32:18,nb15_reconnaissance,nb15,"Normal, Exploits",102300,785,18530,70,1075,0.944,0.9181,0.422,0.5783,0.8507,0.6785,0.422,0.578,0.9962,0.0038
27,2026-07-16 16:32:32,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,261,18530,70,1599,0.9184,0.7885,0.1403,0.2382,0.6175,0.2576,0.1403,0.8597,0.9962,0.0038
34,2026-07-16 16:32:45,nb15_reconnaissance,nb15,"Normal, Generic",102300,1821,18530,70,39,0.9947,0.963,0.979,0.9709,0.9918,0.9603,0.979,0.021,0.9962,0.0038
41,2026-07-16 16:32:59,nb15_reconnaissance,nb15,"Normal, Reconnaissance",102300,1751,18530,70,109,0.9913,0.9616,0.9414,0.9514,0.9948,0.9773,0.9414,0.0586,0.9962,0.0038
48,2026-07-16 16:33:13,nb15_reconnaissance,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1242,18530,70,618,0.9664,0.9466,0.6677,0.7831,0.893,0.776,0.6677,0.3323,0.9962,0.0038
55,2026-07-16 16:33:26,nb15_reconnaissance,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,10,18530,70,1850,0.9062,0.125,0.0054,0.0103,0.8568,0.5614,0.0054,0.9946,0.9962,0.0038
62,2026-07-16 16:33:39,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,30,18530,70,1830,0.9071,0.3,0.0161,0.0306,0.9868,0.808,0.0161,0.9839,0.9962,0.0038
69,2026-07-16 16:33:53,nb15_reconnaissance,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,0,18530,70,1860,0.9057,0.0,0.0,0.0,0.7645,0.403,0.0,1.0,0.9962,0.0038
76,2026-07-16 16:34:06,nb15_reconnaissance,nb15_sat20,"Normal, Syn_DDoS",102300,0,18530,70,1860,0.9057,0.0,0.0,0.0,0.9878,0.8353,0.0,1.0,0.9962,0.0038
83,2026-07-16 16:34:21,nb15_reconnaissance,nb15_sat20,"Normal, UDP_DDoS",102300,39,18530,70,1821,0.9076,0.3578,0.021,0.0396,0.9873,0.8349,0.021,0.979,0.9962,0.0038
90,2026-07-16 16:34:35,nb15_reconnaissance,nb15_ter20,"Normal, Botnet",102300,6,18530,70,1854,0.906,0.0789,0.0032,0.0062,0.5746,0.1825,0.0032,0.9968,0.9962,0.0038
97,2026-07-16 16:34:49,nb15_reconnaissance,nb15_ter20,"Normal, DDoS",102300,0,18530,70,1860,0.9057,0.0,0.0,0.0,0.7782,0.4136,0.0,1.0,0.9962,0.0038
104,2026-07-16 16:35:03,nb15_reconnaissance,nb15_ter20,"Normal, Syn_DDoS",102300,0,18530,70,1860,0.9057,0.0,0.0,0.0,0.9899,0.8618,0.0,1.0,0.9962,0.0038
111,2026-07-16 16:35:17,nb15_reconnaissance,nb15_ter20,"Normal, UDP_DDoS",102300,0,18530,70,1860,0.9057,0.0,0.0,0.0,0.9869,0.8196,0.0,1.0,0.9962,0.0038
