id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 16:09:22,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1534,18448,152,326,0.9766,0.9098,0.8247,0.8652,0.9709,0.9085,0.8247,0.1753,0.9918,0.0082
8,2026-07-16 16:09:36,nb15_aggregate,nb15,"Normal, DoS",102300,1721,18448,152,139,0.9858,0.9188,0.9253,0.922,0.9904,0.9614,0.9253,0.0747,0.9918,0.0082
15,2026-07-16 16:09:50,nb15_aggregate,nb15,"Normal, Exploits",102300,1602,18448,152,258,0.98,0.9133,0.8613,0.8866,0.9849,0.9361,0.8613,0.1387,0.9918,0.0082
22,2026-07-16 16:10:03,nb15_aggregate,nb15,"Normal, Fuzzers",102300,431,18448,152,1429,0.9227,0.7393,0.2317,0.3528,0.8467,0.5129,0.2317,0.7683,0.9918,0.0082
29,2026-07-16 16:10:17,nb15_aggregate,nb15,"Normal, Generic",102300,1844,18448,152,16,0.9918,0.9238,0.9914,0.9564,0.9991,0.9932,0.9914,0.0086,0.9918,0.0082
36,2026-07-16 16:10:31,nb15_aggregate,nb15,"Normal, Reconnaissance",102300,1605,18448,152,255,0.9801,0.9135,0.8629,0.8875,0.9902,0.9503,0.8629,0.1371,0.9918,0.0082
43,2026-07-16 16:10:45,nb15_aggregate,injection,"Normal, Generic, Exploits, DoS, Fuzzers, Reconnaissance, UDP_DDoS, DDoS, Syn_DDoS, Botnet",102300,1534,18448,152,326,0.9766,0.9098,0.8247,0.8652,0.9741,0.9158,0.8247,0.1753,0.9918,0.0082
50,2026-07-16 16:10:59,nb15_aggregate,nb15_stin,"Normal, DDoS, Syn_DDoS, UDP_DDoS, Botnet",102300,671,18448,152,1189,0.9345,0.8153,0.3608,0.5002,0.9702,0.7005,0.3608,0.6392,0.9918,0.0082
57,2026-07-16 16:11:12,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS, UDP_DDoS",102300,497,18448,152,1363,0.926,0.7658,0.2672,0.3962,0.9593,0.6602,0.2672,0.7328,0.9918,0.0082
64,2026-07-16 16:11:26,nb15_aggregate,nb15_ter20,"Normal, DDoS, UDP_DDoS, Botnet, Syn_DDoS",102300,841,18448,152,1019,0.9428,0.8469,0.4522,0.5896,0.9786,0.7495,0.4522,0.5478,0.9918,0.0082
71,2026-07-16 16:11:40,nb15_aggregate,nb15_sat20,"Normal, Syn_DDoS",102300,0,18448,152,1860,0.9017,0.0,0.0,0.0,0.9247,0.4383,0.0,1.0,0.9918,0.0082
78,2026-07-16 16:11:53,nb15_aggregate,nb15_sat20,"Normal, UDP_DDoS",102300,940,18448,152,920,0.9476,0.8608,0.5054,0.6369,0.9894,0.8522,0.5054,0.4946,0.9918,0.0082
85,2026-07-16 16:12:07,nb15_aggregate,nb15_ter20,"Normal, Botnet",102300,1026,18448,152,834,0.9518,0.871,0.5516,0.6754,0.9878,0.814,0.5516,0.4484,0.9918,0.0082
92,2026-07-16 16:12:21,nb15_aggregate,nb15_ter20,"Normal, DDoS",102300,1112,18448,152,748,0.956,0.8797,0.5978,0.7119,0.9871,0.822,0.5978,0.4022,0.9918,0.0082
99,2026-07-16 16:12:34,nb15_aggregate,nb15_ter20,"Normal, Syn_DDoS",102300,0,18448,152,1860,0.9017,0.0,0.0,0.0,0.9658,0.6228,0.0,1.0,0.9918,0.0082
106,2026-07-16 16:12:48,nb15_aggregate,nb15_ter20,"Normal, UDP_DDoS",102300,0,18448,152,1860,0.9017,0.0,0.0,0.0,0.9265,0.4267,0.0,1.0,0.9918,0.0082
