id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-16 16:24:11,nb15_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1532,18440,160,328,0.9761,0.9054,0.8237,0.8626,0.9705,0.9088,0.8237,0.1763,0.9914,0.0086
2,2026-07-16 16:24:12,nb15_dos,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1330,18539,61,530,0.9711,0.9561,0.7151,0.8182,0.9307,0.8442,0.7151,0.2849,0.9967,0.0033
3,2026-07-16 16:24:15,nb15_exploits,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,739,18496,104,1121,0.9401,0.8766,0.3973,0.5468,0.9097,0.7162,0.3973,0.6027,0.9944,0.0056
4,2026-07-16 16:24:17,nb15_fuzzers,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,554,18018,582,1306,0.9077,0.4877,0.2978,0.3698,0.8938,0.5172,0.2978,0.7022,0.9687,0.0313
5,2026-07-16 16:24:19,nb15_generic,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1081,18592,8,779,0.9615,0.9927,0.5812,0.7331,0.8799,0.7744,0.5812,0.4188,0.9996,0.0004
6,2026-07-16 16:24:21,nb15_reconnaissance,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1211,18528,72,649,0.9648,0.9439,0.6511,0.7706,0.9006,0.787,0.6511,0.3489,0.9961,0.0039
7,2026-07-16 16:24:23,injection_aggregate,nb15,"Normal, Exploits, Generic, DoS, Fuzzers, Reconnaissance",102300,1528,18430,170,332,0.9755,0.8999,0.8215,0.8589,0.9698,0.9101,0.8215,0.1785,0.9909,0.0091
8,2026-07-16 16:24:25,nb15_aggregate,nb15,"Normal, DoS",102300,1726,18440,160,134,0.9856,0.9152,0.928,0.9215,0.9896,0.9606,0.928,0.072,0.9914,0.0086
9,2026-07-16 16:24:27,nb15_dos,nb15,"Normal, DoS",102300,1735,18539,61,125,0.9909,0.966,0.9328,0.9491,0.9939,0.979,0.9328,0.0672,0.9967,0.0033
10,2026-07-16 16:24:29,nb15_exploits,nb15,"Normal, DoS",102300,1729,18496,104,131,0.9885,0.9433,0.9296,0.9364,0.9904,0.9662,0.9296,0.0704,0.9944,0.0056
11,2026-07-16 16:24:31,nb15_fuzzers,nb15,"Normal, DoS",102300,1430,18018,582,430,0.9505,0.7107,0.7688,0.7386,0.9477,0.8487,0.7688,0.2312,0.9687,0.0313
12,2026-07-16 16:24:32,nb15_generic,nb15,"Normal, DoS",102300,1341,18592,8,519,0.9742,0.9941,0.721,0.8358,0.9497,0.9013,0.721,0.279,0.9996,0.0004
13,2026-07-16 16:24:34,nb15_reconnaissance,nb15,"Normal, DoS",102300,1453,18528,72,407,0.9766,0.9528,0.7812,0.8585,0.9541,0.8933,0.7812,0.2188,0.9961,0.0039
14,2026-07-16 16:24:36,injection_aggregate,nb15,"Normal, DoS",102300,1706,18430,170,154,0.9842,0.9094,0.9172,0.9133,0.9897,0.961,0.9172,0.0828,0.9909,0.0091
15,2026-07-16 16:24:39,nb15_aggregate,nb15,"Normal, Exploits",102300,1602,18440,160,258,0.9796,0.9092,0.8613,0.8846,0.9854,0.9368,0.8613,0.1387,0.9914,0.0086
16,2026-07-16 16:24:41,nb15_dos,nb15,"Normal, Exploits",102300,1351,18539,61,509,0.9721,0.9568,0.7263,0.8258,0.9763,0.9265,0.7263,0.2737,0.9967,0.0033
17,2026-07-16 16:24:42,nb15_exploits,nb15,"Normal, Exploits",102300,1681,18496,104,179,0.9862,0.9417,0.9038,0.9224,0.9901,0.9599,0.9038,0.0962,0.9944,0.0056
18,2026-07-16 16:24:44,nb15_fuzzers,nb15,"Normal, Exploits",102300,717,18018,582,1143,0.9157,0.552,0.3855,0.4539,0.8599,0.5497,0.3855,0.6145,0.9687,0.0313
19,2026-07-16 16:24:46,nb15_generic,nb15,"Normal, Exploits",102300,677,18592,8,1183,0.9418,0.9883,0.364,0.532,0.9199,0.8331,0.364,0.636,0.9996,0.0004
20,2026-07-16 16:24:48,nb15_reconnaissance,nb15,"Normal, Exploits",102300,785,18528,72,1075,0.9439,0.916,0.422,0.5778,0.8695,0.7016,0.422,0.578,0.9961,0.0039
21,2026-07-16 16:24:50,injection_aggregate,nb15,"Normal, Exploits",102300,1598,18430,170,262,0.9789,0.9038,0.8591,0.8809,0.9822,0.9345,0.8591,0.1409,0.9909,0.0091
22,2026-07-16 16:24:52,nb15_aggregate,nb15,"Normal, Fuzzers",102300,437,18440,160,1423,0.9226,0.732,0.2349,0.3557,0.8465,0.5122,0.2349,0.7651,0.9914,0.0086
23,2026-07-16 16:24:54,nb15_dos,nb15,"Normal, Fuzzers",102300,279,18539,61,1581,0.9197,0.8206,0.15,0.2536,0.7285,0.3838,0.15,0.85,0.9967,0.0033
24,2026-07-16 16:24:56,nb15_exploits,nb15,"Normal, Fuzzers",102300,323,18496,104,1537,0.9198,0.7564,0.1737,0.2825,0.7086,0.3596,0.1737,0.8263,0.9944,0.0056
25,2026-07-16 16:24:58,nb15_fuzzers,nb15,"Normal, Fuzzers",102300,879,18018,582,981,0.9236,0.6016,0.4726,0.5294,0.9161,0.6087,0.4726,0.5274,0.9687,0.0313
26,2026-07-16 16:25:00,nb15_generic,nb15,"Normal, Fuzzers",102300,218,18592,8,1642,0.9194,0.9646,0.1172,0.209,0.6269,0.2927,0.1172,0.8828,0.9996,0.0004
27,2026-07-16 16:25:02,nb15_reconnaissance,nb15,"Normal, Fuzzers",102300,261,18528,72,1599,0.9183,0.7838,0.1403,0.238,0.6178,0.2572,0.1403,0.8597,0.9961,0.0039
28,2026-07-16 16:25:04,injection_aggregate,nb15,"Normal, Fuzzers",102300,451,18430,170,1409,0.9228,0.7262,0.2425,0.3636,0.8422,0.5102,0.2425,0.7575,0.9909,0.0091
29,2026-07-16 16:25:06,nb15_aggregate,nb15,"Normal, Generic",102300,1843,18440,160,17,0.9913,0.9201,0.9909,0.9542,0.9991,0.9933,0.9909,0.0091,0.9914,0.0086
30,2026-07-16 16:25:08,nb15_dos,nb15,"Normal, Generic",102300,1838,18539,61,22,0.9959,0.9679,0.9882,0.9779,0.9977,0.9764,0.9882,0.0118,0.9967,0.0033
31,2026-07-16 16:25:10,nb15_exploits,nb15,"Normal, Generic",102300,42,18496,104,1818,0.9061,0.2877,0.0226,0.0419,0.9698,0.6114,0.0226,0.9774,0.9944,0.0056
32,2026-07-16 16:25:12,nb15_fuzzers,nb15,"Normal, Generic",102300,85,18018,582,1775,0.8848,0.1274,0.0457,0.0673,0.9015,0.347,0.0457,0.9543,0.9687,0.0313
33,2026-07-16 16:25:14,nb15_generic,nb15,"Normal, Generic",102300,1840,18592,8,20,0.9986,0.9957,0.9892,0.9924,0.9972,0.995,0.9892,0.0108,0.9996,0.0004
