id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc
10,2026-06-19 21:23:49,isolation_forest,if_model_1,nb15+ter20,Normal_Botnet,20461,1823,16788,1812,38,0.663391557496361,0.5015130674002751,0.9795808704997313,0.9624653903266251
11,2026-06-19 21:23:50,isolation_forest,if_model_1,nb15+ter20,Normal_DDoS,20461,1650,16788,1812,211,0.6199511553635169,0.47660311958405543,0.8866200967221923,0.9570809571683624
12,2026-06-19 21:23:51,isolation_forest,if_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1853,16788,1812,8,0.670647846543612,0.5055934515688949,0.9957012358946803,0.9380907189451849
13,2026-06-19 21:23:52,isolation_forest,if_model_1,nb15+ter20,Normal_UDP_DDoS,20461,1860,16788,1812,1,0.6723296584131574,0.5065359477124183,0.999462654486835,0.9486178086703299
14,2026-06-19 21:23:52,isolation_forest,if_model_1,nb15+ter20,Normal_ter20,20464,1808,16788,1812,56,0.6593727206418672,0.4994475138121547,0.9699570815450643,0.9524117114310766
7,2026-06-19 21:23:58,random_forest,rf_model_1,nb15+ter20,Normal_Botnet,20461,34,18546,54,1827,0.034889687018984095,0.38636363636363635,0.018269747447608814,0.9827119625822629
8,2026-06-19 21:23:59,random_forest,rf_model_1,nb15+ter20,Normal_DDoS,20461,8,18546,54,1853,0.008320332813312533,0.12903225806451613,0.004298764105319721,0.9854811409058606
9,2026-06-19 21:24:00,random_forest,rf_model_1,nb15+ter20,Normal_Syn_DDoS,20461,0,18546,54,1861,0.0,0.0,0.0,0.9936793289536784
10,2026-06-19 21:24:01,random_forest,rf_model_1,nb15+ter20,Normal_UDP_DDoS,20461,0,18546,54,1861,0.0,0.0,0.0,0.9946589300468587
23,2026-06-19 21:24:07,random_forest,rf_model_2,nb15+ter20,Normal_Botnet,20461,38,18509,91,1823,0.03819095477386935,0.29457364341085274,0.02041912950026867,0.989435671653002
24,2026-06-19 21:24:08,random_forest,rf_model_2,nb15+ter20,Normal_DDoS,20461,87,18509,91,1774,0.0853359489946052,0.4887640449438202,0.04674905964535196,0.9860840079041792
25,2026-06-19 21:24:09,random_forest,rf_model_2,nb15+ter20,Normal_Syn_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.9211225032211842
26,2026-06-19 21:24:10,random_forest,rf_model_2,nb15+ter20,Normal_UDP_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.8593508519526444
39,2026-06-19 21:24:17,random_forest,rf_model_3,nb15+ter20,Normal_Botnet,20461,1017,18206,394,844,0.621638141809291,0.7207654145995748,0.5464803868887694,0.9726970122433887
40,2026-06-19 21:24:18,random_forest,rf_model_3,nb15+ter20,Normal_DDoS,20461,1402,18206,394,459,0.7667487011211376,0.7806236080178174,0.753358409457281,0.976449041733835
41,2026-06-19 21:24:19,random_forest,rf_model_3,nb15+ter20,Normal_Syn_DDoS,20461,1,18206,394,1860,0.0008865248226950354,0.002531645569620253,0.0005373455131649651,0.8768765925360975
42,2026-06-19 21:24:20,random_forest,rf_model_3,nb15+ter20,Normal_UDP_DDoS,20461,0,18206,394,1861,0.0,0.0,0.0,0.8754639660721198
55,2026-06-19 21:24:26,random_forest,rf_model_4,nb15+ter20,Normal_Botnet,20461,9,18596,4,1852,0.0096051227321238,0.6923076923076923,0.004836109618484685,0.9645289559896691
56,2026-06-19 21:24:27,random_forest,rf_model_4,nb15+ter20,Normal_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.9571478509068428
57,2026-06-19 21:24:28,random_forest,rf_model_4,nb15+ter20,Normal_Syn_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.9307327110525615
58,2026-06-19 21:24:29,random_forest,rf_model_4,nb15+ter20,Normal_UDP_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.5915752168160257
71,2026-06-19 21:24:34,random_forest,rf_model_5,nb15+ter20,Normal_Botnet,20461,7,18522,78,1854,0.007194244604316547,0.08235294117647059,0.0037614185921547557,0.9382725208438059
72,2026-06-19 21:24:35,random_forest,rf_model_5,nb15+ter20,Normal_DDoS,20461,0,18522,78,1861,0.0,0.0,0.0,0.9552105758841646
73,2026-06-19 21:24:36,random_forest,rf_model_5,nb15+ter20,Normal_Syn_DDoS,20461,349,18522,78,1512,0.30506993006993005,0.8173302107728337,0.1875335840945728,0.9938074396352984
74,2026-06-19 21:24:37,random_forest,rf_model_5,nb15+ter20,Normal_UDP_DDoS,20461,1362,18522,78,499,0.8252044834898515,0.9458333333333333,0.7318645889306824,0.9961050828263217
89,2026-06-19 21:24:45,random_forest,rf_model_6,nb15+ter20,Normal_Botnet,20461,196,18469,131,1665,0.17915904936014626,0.599388379204893,0.10531972058033315,0.9838797790527696
90,2026-06-19 21:24:46,random_forest,rf_model_6,nb15+ter20,Normal_DDoS,20461,35,18469,131,1826,0.03453379378391712,0.21084337349397592,0.018807092960773777,0.9827482189596297
91,2026-06-19 21:24:47,random_forest,rf_model_6,nb15+ter20,Normal_Syn_DDoS,20461,0,18469,131,1861,0.0,0.0,0.0,0.909019257769843
92,2026-06-19 21:24:48,random_forest,rf_model_6,nb15+ter20,Normal_UDP_DDoS,20461,0,18469,131,1861,0.0,0.0,0.0,0.9324673403708265
101,2026-06-19 21:24:52,random_forest,rf_model_7,nb15+ter20,Normal_Botnet,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
102,2026-06-19 21:24:53,random_forest,rf_model_7,nb15+ter20,Normal_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
103,2026-06-19 21:24:53,random_forest,rf_model_7,nb15+ter20,Normal_Syn_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
104,2026-06-19 21:24:54,random_forest,rf_model_7,nb15+ter20,Normal_UDP_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
105,2026-06-19 21:24:55,random_forest,rf_model_7,nb15+ter20,Normal_ter20,20464,1864,18600,0,0,1.0,1.0,1.0,1.0
115,2026-06-19 21:24:59,random_forest,rf_model_8,nb15+ter20,Normal_Botnet,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
116,2026-06-19 21:24:59,random_forest,rf_model_8,nb15+ter20,Normal_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
117,2026-06-19 21:25:00,random_forest,rf_model_8,nb15+ter20,Normal_Syn_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
118,2026-06-19 21:25:01,random_forest,rf_model_8,nb15+ter20,Normal_UDP_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0
