id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
1,2026-06-23 10:58:34,random_forest,rf_model_6,nb15,DoS,3271,3020,0,0,251,None,None,0.9232650565576276,None,None
1,2026-06-23 10:58:35,random_forest,rf_model_6,nb15,Exploits,8905,7711,0,0,1194,None,None,0.8659180235822571,None,None
1,2026-06-23 10:58:35,random_forest,rf_model_6,nb15,Fuzzers,4850,1207,0,0,3643,None,None,0.2488659793814433,None,None
1,2026-06-23 10:58:36,random_forest,rf_model_6,nb15,Generic,11775,11677,0,0,98,None,None,0.9916772823779193,None,None
1,2026-06-23 10:58:37,random_forest,rf_model_6,nb15,Normal,18600,0,18469,131,0,None,None,None,None,None
1,2026-06-23 10:58:37,random_forest,rf_model_6,nb15,Reconnaissance,2798,2569,0,0,229,None,None,0.918155825589707,None,None
87,2026-06-23 10:58:38,random_forest,rf_model_6,nb15+sat20,Normal_Syn_DDoS,20461,0,18469,131,1861,0.0,0.0,0.0,0.9329714917982587,0.4540469334047984
88,2026-06-23 10:58:39,random_forest,rf_model_6,nb15+sat20,Normal_UDP_DDoS,20461,1448,18469,131,413,0.8418604651162791,0.9170360987967068,0.7780763030628695,0.9918106810421035,0.8837351010707659
89,2026-06-23 10:58:40,random_forest,rf_model_6,nb15+ter20,Normal_Botnet,20461,196,18469,131,1665,0.17915904936014626,0.599388379204893,0.10531972058033315,0.9838797790527696,0.7780513880035438
90,2026-06-23 10:58:41,random_forest,rf_model_6,nb15+ter20,Normal_DDoS,20461,35,18469,131,1826,0.03453379378391712,0.21084337349397592,0.018807092960773777,0.9827482189596297,0.7644240622794689
91,2026-06-23 10:58:43,random_forest,rf_model_6,nb15+ter20,Normal_Syn_DDoS,20461,0,18469,131,1861,0.0,0.0,0.0,0.909019257769843,0.4252708548423959
92,2026-06-23 10:58:44,random_forest,rf_model_6,nb15+ter20,Normal_UDP_DDoS,20461,0,18469,131,1861,0.0,0.0,0.0,0.9324673403708265,0.4414279596295625
1,2026-06-23 10:58:44,random_forest,rf_model_6,sat20,Syn_DDoS,7816,1,0,0,7815,None,None,0.00012794268167860799,None,None
1,2026-06-23 10:58:45,random_forest,rf_model_6,sat20,UDP_DDoS,8649,6660,0,0,1989,None,None,0.7700312174817898,None,None
1,2026-06-23 10:58:45,random_forest,rf_model_6,ter20,Botnet,8081,901,0,0,7180,None,None,0.11149610196757827,None,None
1,2026-06-23 10:58:46,random_forest,rf_model_6,ter20,DDoS,11459,206,0,0,11253,None,None,0.017977135875730868,None,None
1,2026-06-23 10:58:46,random_forest,rf_model_6,ter20,Syn_DDoS,3143,0,0,0,3143,None,None,0.0,None,None
1,2026-06-23 10:58:46,random_forest,rf_model_6,ter20,UDP_DDoS,2768,0,0,0,2768,None,None,0.0,None,None
