id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
1,2026-06-19 21:23:45,isolation_forest,if_model_1,nb15,DoS,3271,392,0,0,2879,None,None,0.1198410272088046,None,None
2,2026-06-19 21:23:45,isolation_forest,if_model_1,nb15,Exploits,8905,1476,0,0,7429,None,None,0.165749578888265,None,None
3,2026-06-19 21:23:45,isolation_forest,if_model_1,nb15,Fuzzers,4850,819,0,0,4031,None,None,0.1688659793814433,None,None
4,2026-06-19 21:23:46,isolation_forest,if_model_1,nb15,Generic,11775,523,0,0,11252,None,None,0.044416135881104,None,None
5,2026-06-19 21:23:46,isolation_forest,if_model_1,nb15,Normal,18600,0,16788,1812,0,None,None,None,None,None
6,2026-06-19 21:23:46,isolation_forest,if_model_1,nb15,Reconnaissance,2798,100,0,0,2698,None,None,0.0357398141529664,None,None
7,2026-06-23 10:57:36,isolation_forest,if_model_1,nb15+sat20,Normal_Syn_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9477833630895632,0.5651563343724175
8,2026-06-23 10:57:36,isolation_forest,if_model_1,nb15+sat20,Normal_UDP_DDoS,20461,895,16788,1812,966,0.3918563922942206,0.3306243073513114,0.4809242342826437,0.9264026017923074,0.4672414247569695
9,2026-06-23 10:57:37,isolation_forest,if_model_1,nb15+sat20,Normal_sat20,20462,1376,16788,1812,486,0.544950495049505,0.4316185696361355,0.7389903329752954,0.937195407874525,0.4721536144041749
10,2026-06-23 10:57:38,isolation_forest,if_model_1,nb15+ter20,Normal_Botnet,20461,1823,16788,1812,38,0.663391557496361,0.5015130674002751,0.9795808704997312,0.9624653903266251,0.626709389946241
11,2026-06-23 10:57:39,isolation_forest,if_model_1,nb15+ter20,Normal_DDoS,20461,1650,16788,1812,211,0.6199511553635169,0.4766031195840554,0.8866200967221923,0.9570809571683624,0.5959314894861012
12,2026-06-23 10:57:40,isolation_forest,if_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1853,16788,1812,8,0.670647846543612,0.5055934515688949,0.9957012358946804,0.9380907189451848,0.4777682403954943
13,2026-06-23 10:57:41,isolation_forest,if_model_1,nb15+ter20,Normal_UDP_DDoS,20461,1860,16788,1812,1,0.6723296584131574,0.5065359477124183,0.999462654486835,0.94861780867033,0.5427734654767025
14,2026-06-23 10:57:42,isolation_forest,if_model_1,nb15+ter20,Normal_ter20,20464,1808,16788,1812,56,0.6593727206418672,0.4994475138121547,0.9699570815450643,0.9524117114310766,0.526441166604841
15,2026-06-19 21:23:53,isolation_forest,if_model_1,sat20,Syn_DDoS,7816,7816,0,0,0,None,None,1.0,None,None
16,2026-06-19 21:23:53,isolation_forest,if_model_1,sat20,UDP_DDoS,8649,4164,0,0,4485,None,None,0.4814429413805064,None,None
17,2026-06-19 21:23:53,isolation_forest,if_model_1,ter20,Botnet,8081,7909,0,0,172,None,None,0.9787155055067442,None,None
18,2026-06-19 21:23:54,isolation_forest,if_model_1,ter20,DDoS,11459,10217,0,0,1242,None,None,0.8916135788463216,None,None
19,2026-06-19 21:23:54,isolation_forest,if_model_1,ter20,Syn_DDoS,3143,3134,0,0,9,None,None,0.9971364937957364,None,None
20,2026-06-19 21:23:54,isolation_forest,if_model_1,ter20,UDP_DDoS,2768,2766,0,0,2,None,None,0.9992774566473988,None,None
1,2026-06-23 10:57:33,isolation_forest,if_model_1,nb15,DoS,3271,392,0,0,2879,None,None,0.1198410272088046,None,None
1,2026-06-23 10:57:33,isolation_forest,if_model_1,nb15,Exploits,8905,1476,0,0,7429,None,None,0.165749578888265,None,None
1,2026-06-23 10:57:33,isolation_forest,if_model_1,nb15,Fuzzers,4850,819,0,0,4031,None,None,0.1688659793814433,None,None
1,2026-06-23 10:57:34,isolation_forest,if_model_1,nb15,Generic,11775,523,0,0,11252,None,None,0.044416135881104,None,None
1,2026-06-23 10:57:35,isolation_forest,if_model_1,nb15,Normal,18600,0,16788,1812,0,None,None,None,None,None
1,2026-06-23 10:57:35,isolation_forest,if_model_1,nb15,Reconnaissance,2798,100,0,0,2698,None,None,0.0357398141529664,None,None
1,2026-06-23 10:57:42,isolation_forest,if_model_1,sat20,Syn_DDoS,7816,7816,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:57:42,isolation_forest,if_model_1,sat20,UDP_DDoS,8649,4164,0,0,4485,None,None,0.4814429413805064,None,None
1,2026-06-23 10:57:43,isolation_forest,if_model_1,ter20,Botnet,8081,7909,0,0,172,None,None,0.9787155055067442,None,None
1,2026-06-23 10:57:43,isolation_forest,if_model_1,ter20,DDoS,11459,10217,0,0,1242,None,None,0.8916135788463216,None,None
1,2026-06-23 10:57:43,isolation_forest,if_model_1,ter20,Syn_DDoS,3143,3134,0,0,9,None,None,0.9971364937957365,None,None
1,2026-06-23 10:57:43,isolation_forest,if_model_1,ter20,UDP_DDoS,2768,2766,0,0,2,None,None,0.9992774566473989,None,None
