id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
7,2026-06-23 12:33:57,isolation_forest,if_model_1,nb15+sat20,Normal_Syn_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9237027728184061,0.41987227195604676
8,2026-06-23 12:33:58,isolation_forest,if_model_1,nb15+sat20,Normal_UDP_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9829380377066326,0.7243447110638594
9,2026-06-23 12:33:59,isolation_forest,if_model_1,nb15+sat20,Normal_sat20,20462,1862,16788,1812,0,0.6726878612716763,0.5068045726728362,1.0,0.9530715325179308,0.558474790075041
5,2026-06-23 12:34:08,random_forest,rf_model_1,nb15+sat20,Normal_Syn_DDoS,20461,1602,18546,54,259,0.9110036963321012,0.967391304347826,0.8608275120902741,0.9973591201400565,0.9479762223488748
6,2026-06-23 12:34:09,random_forest,rf_model_1,nb15+sat20,Normal_UDP_DDoS,20461,1101,18546,54,760,0.730106100795756,0.9532467532467532,0.5916174099946265,0.9982761031472268,0.9733320417048033
21,2026-06-23 12:34:16,random_forest,rf_model_2,nb15+sat20,Normal_Syn_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.983900983977859,0.7642052776623651
22,2026-06-23 12:34:17,random_forest,rf_model_2,nb15+sat20,Normal_UDP_DDoS,20461,1861,18509,91,0,0.9761342774718069,0.9533811475409836,1.0,0.9970862728444068,0.9414793829851561
37,2026-06-23 12:34:26,random_forest,rf_model_3,nb15+sat20,Normal_Syn_DDoS,20461,0,18206,394,1861,0.0,0.0,0.0,0.902019523553645,0.3592580776849559
38,2026-06-23 12:34:27,random_forest,rf_model_3,nb15+sat20,Normal_UDP_DDoS,20461,1861,18206,394,0,0.9042759961127308,0.8252771618625278,1.0,0.9932909957070137,0.8824042712516788
53,2026-06-23 12:34:36,random_forest,rf_model_4,nb15+sat20,Normal_Syn_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.9166794502897622,0.8153470672113796
54,2026-06-23 12:34:37,random_forest,rf_model_4,nb15+sat20,Normal_UDP_DDoS,20461,915,18596,4,946,0.658273381294964,0.9956474428726877,0.491671144545943,0.9997325694937974,0.9962112959384304
69,2026-06-23 12:34:43,random_forest,rf_model_5,nb15+sat20,Normal_Syn_DDoS,20461,1684,18522,78,177,0.9296163400496826,0.9557321225879682,0.9048898441698012,0.9966361015294125,0.9400859996781012
70,2026-06-23 12:34:45,random_forest,rf_model_5,nb15+sat20,Normal_UDP_DDoS,20461,919,18522,78,942,0.6431070678796361,0.921765295887663,0.4938205265986029,0.995463214943983,0.9247024782069999
87,2026-06-23 12:34:53,random_forest,rf_model_6,nb15+sat20,Normal_Syn_DDoS,20461,0,18469,131,1861,0.0,0.0,0.0,0.981257099605369,0.7287617145157055
88,2026-06-23 12:34:54,random_forest,rf_model_6,nb15+sat20,Normal_UDP_DDoS,20461,1861,18469,131,0,0.9660005190760447,0.9342369477911646,1.0,0.997692678811831,0.946186391982971
89,2026-06-23 12:34:55,random_forest,rf_model_6,nb15+sat20,Normal_sat20,20462,931,18469,131,931,0.6367989056087552,0.876647834274953,0.5,0.9894684147003453,0.8615835328761032
103,2026-06-23 12:35:05,random_forest,rf_model_7,nb15+sat20,Normal_Syn_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0
104,2026-06-23 12:35:05,random_forest,rf_model_7,nb15+sat20,Normal_UDP_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0
116,2026-06-23 12:35:11,random_forest,rf_model_8,nb15+sat20,Normal_Syn_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0
117,2026-06-23 12:35:12,random_forest,rf_model_8,nb15+sat20,Normal_UDP_DDoS,20461,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0
118,2026-06-23 12:35:12,random_forest,rf_model_8,nb15+sat20,Normal_sat20,20462,1862,18600,0,0,1.0,1.0,1.0,1.0,1.0
