id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc
10,2026-06-19 21:20:14,isolation_forest,if_model_1,nb15+ter20,Normal_Botnet,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9820285370912852
11,2026-06-19 21:20:15,isolation_forest,if_model_1,nb15+ter20,Normal_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9778318397439231
12,2026-06-19 21:20:16,isolation_forest,if_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9422258237853391
13,2026-06-19 21:20:17,isolation_forest,if_model_1,nb15+ter20,Normal_UDP_DDoS,20461,667,16788,1812,1194,0.30737327188940095,0.2690601048810004,0.3584094572810317,0.90458552171627
14,2026-06-19 21:20:18,isolation_forest,if_model_1,nb15+ter20,Normal_ter20,20464,1565,16788,1812,299,0.5972142720854798,0.46342907906425823,0.8395922746781116,0.9520932264986848
7,2026-06-19 21:20:24,random_forest,rf_model_1,nb15+ter20,Normal_Botnet,20461,335,18546,54,1526,0.29777777777777775,0.8611825192802056,0.1800107469102633,0.9968739491428471
8,2026-06-19 21:20:25,random_forest,rf_model_1,nb15+ter20,Normal_DDoS,20461,880,18546,54,981,0.629695885509839,0.9421841541755889,0.47286405158516925,0.9970803504879443
9,2026-06-19 21:20:26,random_forest,rf_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1757,18546,54,104,0.9569716775599129,0.9701822197680839,0.9441160666308437,0.9979895622078545
10,2026-06-19 21:20:26,random_forest,rf_model_1,nb15+ter20,Normal_UDP_DDoS,20461,1376,18546,54,485,0.8362199939228198,0.9622377622377623,0.739387426114992,0.9972904785841812
23,2026-06-19 21:20:32,random_forest,rf_model_2,nb15+ter20,Normal_Botnet,20461,1400,18509,91,461,0.8353221957040573,0.9389671361502347,0.7522837184309511,0.9958316721845695
24,2026-06-19 21:20:33,random_forest,rf_model_2,nb15+ter20,Normal_DDoS,20461,1786,18509,91,75,0.9555912252541466,0.9515183803942462,0.9596990865126276,0.9959131695873995
25,2026-06-19 21:20:35,random_forest,rf_model_2,nb15+ter20,Normal_Syn_DDoS,20461,1137,18509,91,724,0.7361605697636776,0.9258957654723127,0.6109618484685653,0.9962798934553627
26,2026-06-19 21:20:36,random_forest,rf_model_2,nb15+ter20,Normal_UDP_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.9837369780381688
39,2026-06-19 21:20:43,random_forest,rf_model_3,nb15+ter20,Normal_Botnet,20461,1861,18206,394,0,0.9042759961127308,0.8252771618625278,1.0,0.9918314381792654
40,2026-06-19 21:20:44,random_forest,rf_model_3,nb15+ter20,Normal_DDoS,20461,1861,18206,394,0,0.9042759961127308,0.8252771618625278,1.0,0.991726988033951
41,2026-06-19 21:20:45,random_forest,rf_model_3,nb15+ter20,Normal_Syn_DDoS,20461,939,18206,394,922,0.5879774577332498,0.7044261065266316,0.5045674368619022,0.9756649939620853
42,2026-06-19 21:20:46,random_forest,rf_model_3,nb15+ter20,Normal_UDP_DDoS,20461,1,18206,394,1860,0.0008865248226950354,0.002531645569620253,0.0005373455131649651,0.9109132562560307
55,2026-06-19 21:20:52,random_forest,rf_model_4,nb15+ter20,Normal_Botnet,20461,272,18596,4,1589,0.2545624707533926,0.9855072463768116,0.1461579795808705,0.9992492185378425
56,2026-06-19 21:20:53,random_forest,rf_model_4,nb15+ter20,Normal_DDoS,20461,2,18596,4,1859,0.0021424745581146223,0.3333333333333333,0.0010746910263299302,0.9993307159406725
57,2026-06-19 21:20:54,random_forest,rf_model_4,nb15+ter20,Normal_Syn_DDoS,20461,744,18596,4,1117,0.5703334610962054,0.9946524064171123,0.399785061794734,0.9995366839426139
58,2026-06-19 21:20:54,random_forest,rf_model_4,nb15+ter20,Normal_UDP_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.926090291379938
71,2026-06-19 21:21:00,random_forest,rf_model_5,nb15+ter20,Normal_Botnet,20461,275,18522,78,1586,0.24841915085817526,0.7790368271954674,0.1477700161203654,0.992214036851502
