id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
1,2026-06-23 15:15:01,isolation_forest,if_model_1,nb15,DoS,3271,392,0,0,2879,None,None,0.11984102720880464,None,None
2,2026-06-23 15:15:02,isolation_forest,if_model_1,nb15,Exploits,8905,1476,0,0,7429,None,None,0.16574957888826503,None,None
3,2026-06-23 15:15:02,isolation_forest,if_model_1,nb15,Fuzzers,4850,819,0,0,4031,None,None,0.1688659793814433,None,None
4,2026-06-23 15:15:02,isolation_forest,if_model_1,nb15,Generic,11775,523,0,0,11252,None,None,0.04441613588110403,None,None
5,2026-06-23 15:15:03,isolation_forest,if_model_1,nb15,Normal,18600,0,16788,1812,0,None,None,None,None,None
6,2026-06-23 15:15:03,isolation_forest,if_model_1,nb15,Reconnaissance,2798,100,0,0,2698,None,None,0.035739814152966405,None,None
1,2026-06-23 15:15:14,random_forest,rf_model_1,nb15,Exploits,8905,6957,0,0,1948,None,None,0.7812464907355419,None,None
2,2026-06-23 15:15:14,random_forest,rf_model_1,nb15,Fuzzers,4850,738,0,0,4112,None,None,0.15216494845360826,None,None
3,2026-06-23 15:15:14,random_forest,rf_model_1,nb15,Generic,11775,11643,0,0,132,None,None,0.9887898089171975,None,None
4,2026-06-23 15:15:15,random_forest,rf_model_1,nb15,Normal,18600,0,18546,54,0,None,None,None,None,None
5,2026-06-23 15:15:15,random_forest,rf_model_1,nb15,Reconnaissance,2798,778,0,0,2020,None,None,0.2780557541100786,None,None
6,2026-06-23 15:15:16,random_forest,rf_model_1,nb15,nb15_preprocessed_scaled,20464,1167,18546,54,697,0.7565640194489465,0.9557739557739557,0.6260729613733905,0.9429538309335916,0.8166586245193251
19,2026-06-23 15:15:25,random_forest,rf_model_2,nb15,DoS,3271,3046,0,0,225,None,None,0.9312136961173952,None,None
20,2026-06-23 15:15:25,random_forest,rf_model_2,nb15,Fuzzers,4850,860,0,0,3990,None,None,0.177319587628866,None,None
21,2026-06-23 15:15:25,random_forest,rf_model_2,nb15,Generic,11775,267,0,0,11508,None,None,0.02267515923566879,None,None
22,2026-06-23 15:15:26,random_forest,rf_model_2,nb15,Normal,18600,0,18509,91,0,None,None,None,None,None
23,2026-06-23 15:15:26,random_forest,rf_model_2,nb15,Reconnaissance,2798,723,0,0,2075,None,None,0.2583988563259471,None,None
24,2026-06-23 15:15:27,random_forest,rf_model_2,nb15,nb15_preprocessed_scaled,20464,846,18509,91,1018,0.6040699750089253,0.9028815368196371,0.453862660944206,0.9332742771932253,0.7434662932056828
37,2026-06-23 15:15:36,random_forest,rf_model_3,nb15,DoS,3271,2524,0,0,747,None,None,0.7716294711097523,None,None
38,2026-06-23 15:15:36,random_forest,rf_model_3,nb15,Exploits,8905,3691,0,0,5214,None,None,0.414486243683324,None,None
39,2026-06-23 15:15:37,random_forest,rf_model_3,nb15,Generic,11775,476,0,0,11299,None,None,0.04042462845010616,None,None
40,2026-06-23 15:15:38,random_forest,rf_model_3,nb15,Normal,18600,0,18206,394,0,None,None,None,None,None
41,2026-06-23 15:15:38,random_forest,rf_model_3,nb15,Reconnaissance,2798,529,0,0,2269,None,None,0.1890636168691923,None,None
42,2026-06-23 15:15:39,random_forest,rf_model_3,nb15,nb15_preprocessed_scaled,20464,694,18206,394,1170,0.470189701897019,0.6378676470588235,0.3723175965665236,0.9078932028473857,0.5866981465407813
55,2026-06-23 15:15:48,random_forest,rf_model_4,nb15,DoS,3271,2356,0,0,915,None,None,0.7202690308774076,None,None
56,2026-06-23 15:15:49,random_forest,rf_model_4,nb15,Exploits,8905,3569,0,0,5336,None,None,0.40078607523862997,None,None
57,2026-06-23 15:15:49,random_forest,rf_model_4,nb15,Fuzzers,4850,623,0,0,4227,None,None,0.1284536082474227,None,None
58,2026-06-23 15:15:50,random_forest,rf_model_4,nb15,Normal,18600,0,18596,4,0,None,None,None,None,None
59,2026-06-23 15:15:50,random_forest,rf_model_4,nb15,Reconnaissance,2798,411,0,0,2387,None,None,0.1468906361686919,None,None
60,2026-06-23 15:15:51,random_forest,rf_model_4,nb15,nb15_preprocessed_scaled,20464,885,18596,4,979,0.6429349800217944,0.9955005624296963,0.4747854077253219,0.8754312324057409,0.7583495346138879
73,2026-06-23 15:15:58,random_forest,rf_model_5,nb15,DoS,3271,2525,0,0,746,None,None,0.7719351880158973,None,None
74,2026-06-23 15:15:58,random_forest,rf_model_5,nb15,Exploits,8905,3899,0,0,5006,None,None,0.43784390791690064,None,None
75,2026-06-23 15:15:58,random_forest,rf_model_5,nb15,Fuzzers,4850,691,0,0,4159,None,None,0.14247422680412372,None,None
76,2026-06-23 15:15:59,random_forest,rf_model_5,nb15,Generic,11775,11059,0,0,716,None,None,0.9391932059447983,None,None
77,2026-06-23 15:15:59,random_forest,rf_model_5,nb15,Normal,18600,0,18522,78,0,None,None,None,None,None
78,2026-06-23 15:16:00,random_forest,rf_model_5,nb15,nb15_preprocessed_scaled,20464,1200,18522,78,664,0.7638446849140674,0.9389671361502347,0.6437768240343348,0.9080950032304214,0.7949846845784063
91,2026-06-23 15:16:07,random_forest,rf_model_6,nb15,DoS,3271,3020,0,0,251,None,None,0.9232650565576276,None,None
92,2026-06-23 15:16:08,random_forest,rf_model_6,nb15,Exploits,8905,7711,0,0,1194,None,None,0.8659180235822571,None,None
93,2026-06-23 15:16:08,random_forest,rf_model_6,nb15,Fuzzers,4850,1207,0,0,3643,None,None,0.2488659793814433,None,None
94,2026-06-23 15:16:08,random_forest,rf_model_6,nb15,Generic,11775,11677,0,0,98,None,None,0.9916772823779193,None,None
95,2026-06-23 15:16:09,random_forest,rf_model_6,nb15,Normal,18600,0,18469,131,0,None,None,None,None,None
96,2026-06-23 15:16:09,random_forest,rf_model_6,nb15,Reconnaissance,2798,2569,0,0,229,None,None,0.918155825589707,None,None
97,2026-06-23 15:16:10,random_forest,rf_model_6,nb15,nb15_preprocessed_scaled,20464,1455,18469,131,409,0.8434782608695652,0.9174022698612863,0.7805793991416309,0.9789062427892381,0.9011792940833199
