id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
1,2026-06-23 10:55:53,isolation_forest,if_model_1,ter20,Botnet,8081,8081,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:55:53,isolation_forest,if_model_1,ter20,DDoS,11459,11459,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:55:53,isolation_forest,if_model_1,ter20,Syn_DDoS,3143,3143,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:55:54,isolation_forest,if_model_1,ter20,UDP_DDoS,2768,1020,0,0,1748,None,None,0.3684971098265896,None,None
1,2026-06-23 10:56:02,random_forest,rf_model_1,ter20,Botnet,8081,1372,0,0,6709,None,None,0.1697809677020171,None,None
1,2026-06-23 10:56:03,random_forest,rf_model_1,ter20,DDoS,11459,5357,0,0,6102,None,None,0.46749280041888475,None,None
1,2026-06-23 10:56:03,random_forest,rf_model_1,ter20,Syn_DDoS,3143,2968,0,0,175,None,None,0.9443207126948775,None,None
1,2026-06-23 10:56:03,random_forest,rf_model_1,ter20,UDP_DDoS,2768,2014,0,0,754,None,None,0.7276011560693642,None,None
1,2026-06-23 10:56:12,random_forest,rf_model_2,ter20,Botnet,8081,6082,0,0,1999,None,None,0.7526296250464052,None,None
1,2026-06-23 10:56:12,random_forest,rf_model_2,ter20,DDoS,11459,10983,0,0,476,None,None,0.9584605986560782,None,None
1,2026-06-23 10:56:12,random_forest,rf_model_2,ter20,Syn_DDoS,3143,1933,0,0,1210,None,None,0.6150174992045816,None,None
1,2026-06-23 10:56:13,random_forest,rf_model_2,ter20,UDP_DDoS,2768,0,0,0,2768,None,None,0.0,None,None
1,2026-06-23 10:56:23,random_forest,rf_model_3,ter20,Botnet,8081,8081,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:56:24,random_forest,rf_model_3,ter20,DDoS,11459,11459,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:56:24,random_forest,rf_model_3,ter20,Syn_DDoS,3143,1598,0,0,1545,None,None,0.5084314349347757,None,None
1,2026-06-23 10:56:24,random_forest,rf_model_3,ter20,UDP_DDoS,2768,1,0,0,2767,None,None,0.000361271676300578,None,None
1,2026-06-23 10:56:32,random_forest,rf_model_4,ter20,Botnet,8081,1063,0,0,7018,None,None,0.13154312585076106,None,None
1,2026-06-23 10:56:33,random_forest,rf_model_4,ter20,DDoS,11459,7,0,0,11452,None,None,0.0006108735491753207,None,None
1,2026-06-23 10:56:33,random_forest,rf_model_4,ter20,Syn_DDoS,3143,1239,0,0,1904,None,None,0.39420935412026725,None,None
1,2026-06-23 10:56:33,random_forest,rf_model_4,ter20,UDP_DDoS,2768,0,0,0,2768,None,None,0.0,None,None
1,2026-06-23 10:56:41,random_forest,rf_model_5,ter20,Botnet,8081,1085,0,0,6996,None,None,0.13426556119292166,None,None
1,2026-06-23 10:56:41,random_forest,rf_model_5,ter20,DDoS,11459,13,0,0,11446,None,None,0.0011344794484684528,None,None
1,2026-06-23 10:56:41,random_forest,rf_model_5,ter20,Syn_DDoS,3143,3136,0,0,7,None,None,0.9977728285077951,None,None
1,2026-06-23 10:56:42,random_forest,rf_model_5,ter20,UDP_DDoS,2768,2460,0,0,308,None,None,0.888728323699422,None,None
1,2026-06-23 10:56:53,random_forest,rf_model_6,ter20,Botnet,8081,7756,0,0,325,None,None,0.9597822051726271,None,None
1,2026-06-23 10:56:53,random_forest,rf_model_6,ter20,DDoS,11459,11398,0,0,61,None,None,0.9946766733571865,None,None
1,2026-06-23 10:56:53,random_forest,rf_model_6,ter20,Syn_DDoS,3143,2960,0,0,183,None,None,0.9417753738466433,None,None
1,2026-06-23 10:56:54,random_forest,rf_model_6,ter20,UDP_DDoS,2768,1,0,0,2767,None,None,0.000361271676300578,None,None
1,2026-06-23 10:56:59,random_forest,rf_model_7,ter20,Botnet,8081,4936,0,0,3145,None,None,0.6108154931320381,None,None
1,2026-06-23 10:57:00,random_forest,rf_model_7,ter20,DDoS,11459,3273,0,0,8186,None,None,0.28562701806440355,None,None
1,2026-06-23 10:57:00,random_forest,rf_model_7,ter20,Syn_DDoS,3143,31,0,0,3112,None,None,0.009863188036907413,None,None
1,2026-06-23 10:57:00,random_forest,rf_model_7,ter20,UDP_DDoS,2768,2767,0,0,1,None,None,0.9996387283236994,None,None
1,2026-06-23 10:57:06,random_forest,rf_model_8,ter20,Botnet,8081,8081,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:57:06,random_forest,rf_model_8,ter20,DDoS,11459,11459,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:57:06,random_forest,rf_model_8,ter20,Syn_DDoS,3143,3143,0,0,0,None,None,1.0,None,None
1,2026-06-23 10:57:06,random_forest,rf_model_8,ter20,UDP_DDoS,2768,2768,0,0,0,None,None,1.0,None,None
