id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc
1,2026-06-18 18:03:20,isolation_forest,if_model_1,sat20,Syn_DDoS,7816,7816,0,0,0,None,None,1.0,None
2,2026-06-18 18:03:20,isolation_forest,if_model_1,sat20,UDP_DDoS,8649,8649,0,0,0,None,None,1.0,None
3,2026-06-18 18:03:21,isolation_forest,if_model_1,ter20,Botnet,8081,8081,0,0,0,None,None,1.0,None
4,2026-06-18 18:03:21,isolation_forest,if_model_1,ter20,DDoS,11459,11459,0,0,0,None,None,1.0,None
5,2026-06-18 18:03:21,isolation_forest,if_model_1,ter20,Syn_DDoS,3143,3143,0,0,0,None,None,1.0,None
6,2026-06-18 18:03:21,isolation_forest,if_model_1,ter20,UDP_DDoS,2768,1020,0,0,1748,None,None,0.3684971098265896,None
7,2026-06-18 18:03:21,isolation_forest,if_model_1,nb15,DoS,3271,392,0,0,2879,None,None,0.11984102720880464,None
8,2026-06-18 18:03:22,isolation_forest,if_model_1,nb15,Exploits,8905,1476,0,0,7429,None,None,0.16574957888826503,None
9,2026-06-18 18:03:22,isolation_forest,if_model_1,nb15,Fuzzers,4850,819,0,0,4031,None,None,0.1688659793814433,None
10,2026-06-18 18:03:22,isolation_forest,if_model_1,nb15,Generic,11775,523,0,0,11252,None,None,0.04441613588110403,None
11,2026-06-18 18:03:23,isolation_forest,if_model_1,nb15,Normal,18600,0,16788,1812,0,None,None,0.0,None
12,2026-06-18 18:03:23,isolation_forest,if_model_1,nb15,Reconnaissance,2798,100,0,0,2698,None,None,0.035739814152966405,None
13,2026-06-18 18:03:24,isolation_forest,if_model_1,nb15+sat20,Normal_Syn_DDoS,20446,1846,16788,1812,0,0.6707848837209303,0.5046473482777474,1.0,0.9250134262980696
14,2026-06-18 18:03:24,isolation_forest,if_model_1,nb15+sat20,Normal_UDP_DDoS,20446,1846,16788,1812,0,0.6707848837209303,0.5046473482777474,1.0,0.9829646780600894
15,2026-06-18 18:03:25,isolation_forest,if_model_1,nb15+ter20,Normal_Botnet,20440,1840,16788,1812,0,0.6700655498907502,0.5038335158817087,1.0,0.9819216923796166
16,2026-06-18 18:03:26,isolation_forest,if_model_1,nb15+ter20,Normal_DDoS,20477,1877,16788,1812,0,0.6744520301832555,0.5088099756031444,1.0,0.9781493861744606
17,2026-06-18 18:03:27,isolation_forest,if_model_1,nb15+ter20,Normal_Syn_DDoS,20439,1839,16788,1812,0,0.6699453551912569,0.5036976170912079,1.0,0.94210513544645
18,2026-06-18 18:03:27,isolation_forest,if_model_1,nb15+ter20,Normal_UDP_DDoS,20477,698,16788,1812,1179,0.3182129017551858,0.27808764940239045,0.3718700053276505,0.9053551480571261
19,2026-06-18 18:03:28,isolation_forest,if_model_1,nb15+sat20,Normal_sat20,20424,1824,16788,1812,0,0.6681318681318681,0.5016501650165016,1.0,0.9535093024900962
20,2026-06-18 18:03:29,isolation_forest,if_model_1,nb15+ter20,Normal_ter20,20467,1557,16788,1812,310,0.5947288006111535,0.46215494211932323,0.8339582217461168,0.9510346654687238
