id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
1,2026-06-19 21:20:20,random_forest,rf_model_1,nb15,Exploits,8905,6957,0,0,1948,None,None,0.7812464907355419,None,None
2,2026-06-19 21:20:20,random_forest,rf_model_1,nb15,Fuzzers,4850,738,0,0,4112,None,None,0.1521649484536082,None,None
3,2026-06-19 21:20:21,random_forest,rf_model_1,nb15,Generic,11775,11643,0,0,132,None,None,0.9887898089171976,None,None
4,2026-06-19 21:20:21,random_forest,rf_model_1,nb15,Reconnaissance,2798,778,0,0,2020,None,None,0.2780557541100786,None,None
5,2026-06-23 10:55:56,random_forest,rf_model_1,nb15+sat20,Normal_Syn_DDoS,20461,1602,18546,54,259,0.9110036963321012,0.967391304347826,0.8608275120902741,0.9973591201400565,0.9479762223488748
6,2026-06-23 10:55:57,random_forest,rf_model_1,nb15+sat20,Normal_UDP_DDoS,20461,1101,18546,54,760,0.730106100795756,0.9532467532467532,0.5916174099946265,0.9982761031472268,0.9733320417048033
7,2026-06-23 10:55:58,random_forest,rf_model_1,nb15+ter20,Normal_Botnet,20461,335,18546,54,1526,0.2977777777777777,0.8611825192802056,0.1800107469102633,0.9968739491428472,0.936379407944198
8,2026-06-23 10:55:59,random_forest,rf_model_1,nb15+ter20,Normal_DDoS,20461,880,18546,54,981,0.629695885509839,0.9421841541755888,0.4728640515851692,0.9970803504879444,0.9210032774233564
9,2026-06-23 10:56:00,random_forest,rf_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1757,18546,54,104,0.9569716775599127,0.970182219768084,0.9441160666308436,0.9979895622078544,0.955690866014974
10,2026-06-23 10:56:01,random_forest,rf_model_1,nb15+ter20,Normal_UDP_DDoS,20461,1376,18546,54,485,0.8362199939228198,0.9622377622377624,0.739387426114992,0.9972904785841812,0.9447248214442296
11,2026-06-19 21:20:27,random_forest,rf_model_1,sat20,Syn_DDoS,7816,6697,0,0,1119,None,None,0.8568321392016377,None,None
12,2026-06-19 21:20:27,random_forest,rf_model_1,sat20,UDP_DDoS,8649,5184,0,0,3465,None,None,0.5993756503642039,None,None
13,2026-06-19 21:20:27,random_forest,rf_model_1,ter20,Botnet,8081,1372,0,0,6709,None,None,0.1697809677020171,None,None
14,2026-06-19 21:20:28,random_forest,rf_model_1,ter20,DDoS,11459,5357,0,0,6102,None,None,0.4674928004188847,None,None
15,2026-06-19 21:20:28,random_forest,rf_model_1,ter20,Syn_DDoS,3143,2968,0,0,175,None,None,0.9443207126948776,None,None
16,2026-06-19 21:20:28,random_forest,rf_model_1,ter20,UDP_DDoS,2768,2014,0,0,754,None,None,0.7276011560693642,None,None
17,2026-06-19 21:20:28,random_forest,rf_model_2,nb15,DoS,3271,3046,0,0,225,None,None,0.9312136961173952,None,None
18,2026-06-19 21:20:29,random_forest,rf_model_2,nb15,Fuzzers,4850,860,0,0,3990,None,None,0.177319587628866,None,None
19,2026-06-19 21:20:29,random_forest,rf_model_2,nb15,Generic,11775,267,0,0,11508,None,None,0.0226751592356687,None,None
20,2026-06-19 21:20:29,random_forest,rf_model_2,nb15,Reconnaissance,2798,723,0,0,2075,None,None,0.2583988563259471,None,None
21,2026-06-23 10:56:06,random_forest,rf_model_2,nb15+sat20,Normal_Syn_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.983900983977859,0.7642052776623651
22,2026-06-23 10:56:07,random_forest,rf_model_2,nb15+sat20,Normal_UDP_DDoS,20461,1861,18509,91,0,0.9761342774718068,0.9533811475409836,1.0,0.9970862728444068,0.941479382985156
23,2026-06-23 10:56:08,random_forest,rf_model_2,nb15+ter20,Normal_Botnet,20461,1400,18509,91,461,0.8353221957040573,0.9389671361502347,0.7522837184309511,0.9958316721845696,0.9039220760460288
24,2026-06-23 10:56:09,random_forest,rf_model_2,nb15+ter20,Normal_DDoS,20461,1786,18509,91,75,0.9555912252541466,0.9515183803942462,0.9596990865126276,0.9959131695873996,0.8943386341502687
25,2026-06-23 10:56:10,random_forest,rf_model_2,nb15+ter20,Normal_Syn_DDoS,20461,1137,18509,91,724,0.7361605697636776,0.9258957654723128,0.6109618484685653,0.9962798934553628,0.9403104094210198
26,2026-06-23 10:56:11,random_forest,rf_model_2,nb15+ter20,Normal_UDP_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.9837369780381688,0.7485505508120285
27,2026-06-19 21:20:36,random_forest,rf_model_2,sat20,Syn_DDoS,7816,2,0,0,7814,None,None,0.0002558853633572,None,None
28,2026-06-19 21:20:36,random_forest,rf_model_2,sat20,UDP_DDoS,8649,8646,0,0,3,None,None,0.9996531390912244,None,None
