id,timestamp,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,recall
1,2026-06-15 14:04:31,rf_model_1,sat20,Syn_DDoS,39076,30988,0,0,8088,0.7930187327259699
2,2026-06-15 14:06:26,rf_model_2,sat20,Syn_DDoS,39076,37593,0,0,1483,0.9620483161019552
3,2026-06-15 14:07:06,rf_model_3,sat20,Syn_DDoS,39076,9,0,0,39067,0.00023032040126932132
4,2026-06-15 14:07:26,rf_model_4,sat20,Syn_DDoS,39076,1,0,0,39075,2.559115569659126e-05
5,2026-06-15 14:07:42,rf_model_5,sat20,Syn_DDoS,39076,1,0,0,39075,2.559115569659126e-05
6,2026-06-15 14:08:27,rf_model_1,sat20,UDP_DDoS,43244,24786,0,0,18458,0.5731662195911571
7,2026-06-15 14:08:46,rf_model_2,sat20,UDP_DDoS,43244,43241,0,0,3,0.9999306262140413
8,2026-06-15 14:09:04,rf_model_3,sat20,UDP_DDoS,43244,43236,0,0,8,0.9998150032374433
9,2026-06-15 14:09:20,rf_model_4,sat20,UDP_DDoS,43244,21237,0,0,22007,0.491097030801961
10,2026-06-15 14:09:34,rf_model_5,sat20,UDP_DDoS,43244,22326,0,0,20918,0.5162797151049857
11,2026-06-15 14:10:17,rf_model_1,ter20,Botnet,40401,5894,0,0,34507,0.14588747803272195
12,2026-06-15 14:10:35,rf_model_2,ter20,Botnet,40401,18401,0,0,22000,0.4554590232915027
13,2026-06-15 14:10:49,rf_model_3,ter20,Botnet,40401,40399,0,0,2,0.9999504962748447
14,2026-06-15 14:11:06,rf_model_4,ter20,Botnet,40401,343,0,0,40058,0.008489888864137027
15,2026-06-15 14:11:20,rf_model_5,ter20,Botnet,40401,5988,0,0,34413,0.1482141531150219
16,2026-06-15 14:11:54,rf_model_1,ter20,DDoS,57292,5981,0,0,51311,0.10439502897437687
17,2026-06-15 14:12:11,rf_model_2,ter20,DDoS,57292,37796,0,0,19496,0.6597081616979683
18,2026-06-15 14:12:27,rf_model_3,ter20,DDoS,57292,57291,0,0,1,0.9999825455560986
19,2026-06-15 14:12:41,rf_model_4,ter20,DDoS,57292,6105,0,0,51187,0.10655938001815263
20,2026-06-15 14:12:53,rf_model_5,ter20,DDoS,57292,1743,0,0,55549,0.030423095720170355
21,2026-06-15 14:13:22,rf_model_1,ter20,Syn_DDoS,15713,14383,0,0,1330,0.9153567110036276
22,2026-06-15 14:13:37,rf_model_2,ter20,Syn_DDoS,15713,3175,0,0,12538,0.20206198688983645
23,2026-06-15 14:13:49,rf_model_3,ter20,Syn_DDoS,15713,2315,0,0,13398,0.1473302361102272
24,2026-06-15 14:14:04,rf_model_4,ter20,Syn_DDoS,15713,450,0,0,15263,0.028638706803283905
25,2026-06-15 14:14:19,rf_model_5,ter20,Syn_DDoS,15713,14211,0,0,1502,0.9044103608477058
26,2026-06-15 14:14:45,rf_model_1,ter20,UDP_DDoS,13838,9703,0,0,4135,0.701185142361613
27,2026-06-15 14:15:05,rf_model_2,ter20,UDP_DDoS,13838,13482,0,0,356,0.9742737389796213
28,2026-06-15 14:15:17,rf_model_3,ter20,UDP_DDoS,13838,3,0,0,13835,0.00021679433444139325
29,2026-06-15 14:15:32,rf_model_4,ter20,UDP_DDoS,13838,2,0,0,13836,0.00014452955629426219
30,2026-06-15 14:15:47,rf_model_5,ter20,UDP_DDoS,13838,2,0,0,13836,0.00014452955629426219
