id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-07-01 17:12:17,model_1,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1553,18425,175,308,0.9764,0.8987,0.8345,0.8654,0.9707,0.9122,0.8345,0.1655,0.9906,0.0094
2,2026-07-01 17:12:17,model_2,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1353,18542,58,508,0.9723,0.9589,0.727,0.827,0.929,0.8449,0.727,0.273,0.9969,0.0031
3,2026-07-01 17:12:18,model_3,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,765,18478,122,1096,0.9405,0.8625,0.4111,0.5568,0.9172,0.7394,0.4111,0.5889,0.9934,0.0066
4,2026-07-01 17:12:18,model_4,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,566,18004,596,1295,0.9076,0.4871,0.3041,0.3745,0.8979,0.5216,0.3041,0.6959,0.968,0.032
5,2026-07-01 17:12:19,model_5,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1091,18591,9,770,0.9619,0.9918,0.5862,0.7369,0.8889,0.7914,0.5862,0.4138,0.9995,0.0005
6,2026-07-01 17:12:19,model_6,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1223,18524,76,638,0.9651,0.9415,0.6572,0.7741,0.9028,0.7946,0.6572,0.3428,0.9959,0.0041
7,2026-07-01 17:12:20,model_1,nb15,"DoS, Normal",102300,1719,18425,175,142,0.9845,0.9076,0.9237,0.9156,0.9916,0.9629,0.9237,0.0763,0.9906,0.0094
8,2026-07-01 17:12:20,model_2,nb15,"DoS, Normal",102300,1746,18542,58,115,0.9915,0.9678,0.9382,0.9528,0.9953,0.9806,0.9382,0.0618,0.9969,0.0031
9,2026-07-01 17:12:21,model_3,nb15,"DoS, Normal",102300,1734,18478,122,127,0.9878,0.9343,0.9318,0.933,0.993,0.97,0.9318,0.0682,0.9934,0.0066
10,2026-07-01 17:12:21,model_4,nb15,"DoS, Normal",102300,1434,18004,596,427,0.95,0.7064,0.7706,0.7371,0.9499,0.8445,0.7706,0.2294,0.968,0.032
11,2026-07-01 17:12:21,model_5,nb15,"DoS, Normal",102300,1313,18591,9,548,0.9728,0.9932,0.7055,0.825,0.9578,0.9151,0.7055,0.2945,0.9995,0.0005
12,2026-07-01 17:12:22,model_6,nb15,"DoS, Normal",102300,1435,18524,76,426,0.9755,0.9497,0.7711,0.8511,0.9449,0.8812,0.7711,0.2289,0.9959,0.0041
13,2026-07-01 17:12:22,model_1,nb15,"Exploits, Normal",102300,1604,18425,175,256,0.9789,0.9016,0.8624,0.8816,0.9831,0.9338,0.8624,0.1376,0.9906,0.0094
14,2026-07-01 17:12:23,model_2,nb15,"Exploits, Normal",102300,1435,18542,58,425,0.9764,0.9612,0.7715,0.8559,0.9746,0.9295,0.7715,0.2285,0.9969,0.0031
15,2026-07-01 17:12:23,model_3,nb15,"Exploits, Normal",102300,1681,18478,122,179,0.9853,0.9323,0.9038,0.9178,0.9881,0.9569,0.9038,0.0962,0.9934,0.0066
16,2026-07-01 17:12:24,model_4,nb15,"Exploits, Normal",102300,768,18004,596,1092,0.9175,0.563,0.4129,0.4764,0.8819,0.578,0.4129,0.5871,0.968,0.032
17,2026-07-01 17:12:24,model_5,nb15,"Exploits, Normal",102300,720,18591,9,1140,0.9438,0.9877,0.3871,0.5562,0.9226,0.8411,0.3871,0.6129,0.9995,0.0005
18,2026-07-01 17:12:25,model_6,nb15,"Exploits, Normal",102300,797,18524,76,1063,0.9443,0.9129,0.4285,0.5832,0.8784,0.7232,0.4285,0.5715,0.9959,0.0041
19,2026-07-01 17:12:25,model_1,nb15,"Fuzzers, Normal",102300,499,18425,175,1362,0.9249,0.7404,0.2681,0.3937,0.8571,0.5358,0.2681,0.7319,0.9906,0.0094
20,2026-07-01 17:12:26,model_2,nb15,"Fuzzers, Normal",102300,285,18542,58,1576,0.9201,0.8309,0.1531,0.2586,0.7165,0.3741,0.1531,0.8469,0.9969,0.0031
21,2026-07-01 17:12:27,model_3,nb15,"Fuzzers, Normal",102300,348,18478,122,1513,0.9201,0.7404,0.187,0.2986,0.7088,0.359,0.187,0.813,0.9934,0.0066
22,2026-07-01 17:12:27,model_4,nb15,"Fuzzers, Normal",102300,958,18004,596,903,0.9267,0.6165,0.5148,0.5611,0.9277,0.635,0.5148,0.4852,0.968,0.032
23,2026-07-01 17:12:28,model_5,nb15,"Fuzzers, Normal",102300,236,18591,9,1625,0.9201,0.9633,0.1268,0.2241,0.6354,0.3068,0.1268,0.8732,0.9995,0.0005
24,2026-07-01 17:12:28,model_6,nb15,"Fuzzers, Normal",102300,275,18524,76,1586,0.9188,0.7835,0.1478,0.2486,0.6279,0.2732,0.1478,0.8522,0.9959,0.0041
25,2026-07-01 17:12:29,model_1,nb15,"Generic, Normal",102300,1846,18425,175,15,0.9907,0.9134,0.9919,0.9511,0.9989,0.993,0.9919,0.0081,0.9906,0.0094
26,2026-07-01 17:12:29,model_2,nb15,"Generic, Normal",102300,1843,18542,58,18,0.9963,0.9695,0.9903,0.9798,0.9977,0.9818,0.9903,0.0097,0.9969,0.0031
27,2026-07-01 17:12:30,model_3,nb15,"Generic, Normal",102300,36,18478,122,1825,0.9048,0.2278,0.0193,0.0357,0.9735,0.6495,0.0193,0.9807,0.9934,0.0066
28,2026-07-01 17:12:30,model_4,nb15,"Generic, Normal",102300,75,18004,596,1786,0.8836,0.1118,0.0403,0.0592,0.9058,0.345,0.0403,0.9597,0.968,0.032
29,2026-07-01 17:12:31,model_5,nb15,"Generic, Normal",102300,1839,18591,9,22,0.9985,0.9951,0.9882,0.9916,0.9983,0.9962,0.9882,0.0118,0.9995,0.0005
30,2026-07-01 17:12:31,model_6,nb15,"Generic, Normal",102300,1737,18524,76,124,0.9902,0.9581,0.9334,0.9456,0.9933,0.9651,0.9334,0.0666,0.9959,0.0041
31,2026-07-01 17:12:32,model_1,nb15,"Reconnaissance, Normal",102300,1622,18425,175,239,0.9798,0.9026,0.8716,0.8868,0.9902,0.9482,0.8716,0.1284,0.9906,0.0094
32,2026-07-01 17:12:32,model_2,nb15,"Reconnaissance, Normal",102300,443,18542,58,1418,0.9279,0.8842,0.238,0.3751,0.7882,0.5029,0.238,0.762,0.9969,0.0031
33,2026-07-01 17:12:33,model_3,nb15,"Reconnaissance, Normal",102300,482,18478,122,1379,0.9266,0.798,0.259,0.3911,0.7273,0.4173,0.259,0.741,0.9934,0.0066
34,2026-07-01 17:12:33,model_4,nb15,"Reconnaissance, Normal",102300,397,18004,596,1464,0.8993,0.3998,0.2133,0.2782,0.8564,0.383,0.2133,0.7867,0.968,0.032
35,2026-07-01 17:12:33,model_5,nb15,"Reconnaissance, Normal",102300,263,18591,9,1598,0.9215,0.9669,0.1413,0.2466,0.6999,0.4098,0.1413,0.8587,0.9995,0.0005
36,2026-07-01 17:12:34,model_6,nb15,"Reconnaissance, Normal",102300,1763,18524,76,98,0.9915,0.9587,0.9473,0.953,0.9957,0.9813,0.9473,0.0527,0.9959,0.0041
37,2026-07-01 17:12:34,model_1,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,924,18425,175,937,0.9457,0.8408,0.4965,0.6243,0.9692,0.7134,0.4965,0.5035,0.9906,0.0094
38,2026-07-01 17:12:35,model_2,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,246,18542,58,1615,0.9182,0.8092,0.1322,0.2273,0.9883,0.8549,0.1322,0.8678,0.9969,0.0031
