id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
18,2026-06-23 16:43:13,isolation_forest,if_model_1,nb15+ter20,Normal_Botnet,20461,1823,16788,1812,38,0.663391557496361,0.5015130674002751,0.9795808704997313,0.9624653903266251,0.626709389946241
19,2026-06-23 16:43:14,isolation_forest,if_model_1,nb15+ter20,Normal_DDoS,20461,1650,16788,1812,211,0.6199511553635169,0.47660311958405543,0.8866200967221923,0.9570809571683624,0.5959314894861012
20,2026-06-23 16:43:15,isolation_forest,if_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1853,16788,1812,8,0.670647846543612,0.5055934515688949,0.9957012358946803,0.9380907189451849,0.47776824039549437
21,2026-06-23 16:43:16,isolation_forest,if_model_1,nb15+ter20,Normal_UDP_DDoS,20461,1860,16788,1812,1,0.6723296584131574,0.5065359477124183,0.999462654486835,0.9486178086703299,0.5427734654767025
22,2026-06-23 16:43:16,isolation_forest,if_model_1,nb15+ter20,Normal_ter20,20464,1808,16788,1812,56,0.6593727206418672,0.4994475138121547,0.9699570815450643,0.9524117114310766,0.526441166604841
18,2026-06-23 16:43:37,random_forest,rf_model_1,nb15+ter20,Normal_Botnet,20461,34,18546,54,1827,0.034889687018984095,0.38636363636363635,0.018269747447608814,0.9827119625822629,0.7759236659296311
19,2026-06-23 16:43:38,random_forest,rf_model_1,nb15+ter20,Normal_DDoS,20461,8,18546,54,1853,0.008320332813312533,0.12903225806451613,0.004298764105319721,0.9854811409058606,0.7868421812280243
20,2026-06-23 16:43:39,random_forest,rf_model_1,nb15+ter20,Normal_Syn_DDoS,20461,0,18546,54,1861,0.0,0.0,0.0,0.9936793289536784,0.8910700056058968
21,2026-06-23 16:43:40,random_forest,rf_model_1,nb15+ter20,Normal_UDP_DDoS,20461,0,18546,54,1861,0.0,0.0,0.0,0.9946589300468587,0.9211061804012628
22,2026-06-23 16:43:41,random_forest,rf_model_1,nb15+ter20,Normal_ter20,20464,10,18546,54,1854,0.01037344398340249,0.15625,0.00536480686695279,0.9894380653237344,0.834522673306079
50,2026-06-23 16:44:00,random_forest,rf_model_2,nb15+ter20,Normal_Botnet,20461,38,18509,91,1823,0.03819095477386935,0.29457364341085274,0.02041912950026867,0.989435671653002,0.801384010730339
51,2026-06-23 16:44:01,random_forest,rf_model_2,nb15+ter20,Normal_DDoS,20461,87,18509,91,1774,0.0853359489946052,0.4887640449438202,0.04674905964535196,0.9860840079041792,0.7789970878728021
