id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
27,2026-06-23 16:43:18,isolation_forest,if_model_1,ter20,Botnet,8081,7909,0,0,172,None,None,0.9787155055067442,None,None
28,2026-06-23 16:43:19,isolation_forest,if_model_1,ter20,DDoS,11459,10217,0,0,1242,None,None,0.8916135788463216,None,None
29,2026-06-23 16:43:19,isolation_forest,if_model_1,ter20,Syn_DDoS,3143,3134,0,0,9,None,None,0.9971364937957365,None,None
30,2026-06-23 16:43:19,isolation_forest,if_model_1,ter20,UDP_DDoS,2768,2766,0,0,2,None,None,0.9992774566473989,None,None
31,2026-06-23 16:43:20,isolation_forest,if_model_1,ter20,ter20_attacks_preprocessed_scaled,11072,10683,0,0,389,None,None,0.9648663294797688,None,None
32,2026-06-23 16:43:20,isolation_forest,if_model_1,ter20,ter20_preprocessed,25451,24026,0,0,1425,None,None,0.9440100585438687,None,None
27,2026-06-23 16:43:43,random_forest,rf_model_1,ter20,Botnet,8081,135,0,0,7946,None,None,0.016705853235985644,None,None
28,2026-06-23 16:43:43,random_forest,rf_model_1,ter20,DDoS,11459,46,0,0,11413,None,None,0.004014311894580679,None,None
29,2026-06-23 16:43:43,random_forest,rf_model_1,ter20,Syn_DDoS,3143,0,0,0,3143,None,None,0.0,None,None
30,2026-06-23 16:43:44,random_forest,rf_model_1,ter20,UDP_DDoS,2768,0,0,0,2768,None,None,0.0,None,None
31,2026-06-23 16:43:44,random_forest,rf_model_1,ter20,ter20_attacks_preprocessed_scaled,11072,62,0,0,11010,None,None,0.005599710982658959,None,None
32,2026-06-23 16:43:45,random_forest,rf_model_1,ter20,ter20_preprocessed,25451,181,0,0,25270,None,None,0.007111704844603355,None,None
59,2026-06-23 16:44:06,random_forest,rf_model_2,ter20,Botnet,8081,166,0,0,7915,None,None,0.02054201212721198,None,None
60,2026-06-23 16:44:06,random_forest,rf_model_2,ter20,DDoS,11459,501,0,0,10958,None,None,0.04372109259097653,None,None
61,2026-06-23 16:44:07,random_forest,rf_model_2,ter20,Syn_DDoS,3143,0,0,0,3143,None,None,0.0,None,None
62,2026-06-23 16:44:07,random_forest,rf_model_2,ter20,UDP_DDoS,2768,0,0,0,2768,None,None,0.0,None,None
63,2026-06-23 16:44:07,random_forest,rf_model_2,ter20,ter20_attacks_preprocessed_scaled,11072,188,0,0,10884,None,None,0.016979768786127166,None,None
64,2026-06-23 16:44:08,random_forest,rf_model_2,ter20,ter20_preprocessed,25451,667,0,0,24784,None,None,0.026207221720168167,None,None
91,2026-06-23 16:44:32,random_forest,rf_model_3,ter20,Botnet,8081,4401,0,0,3680,None,None,0.5446108154931321,None,None
92,2026-06-23 16:44:32,random_forest,rf_model_3,ter20,DDoS,11459,8652,0,0,2807,None,None,0.7550397067806964,None,None
