id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
97,2026-06-23 16:44:35,random_forest,rf_model_4,nb15,DoS,3271,2356,0,0,915,None,None,0.7202690308774076,None,None
98,2026-06-23 16:44:35,random_forest,rf_model_4,nb15,Exploits,8905,3569,0,0,5336,None,None,0.40078607523862997,None,None
99,2026-06-23 16:44:35,random_forest,rf_model_4,nb15,Fuzzers,4850,623,0,0,4227,None,None,0.1284536082474227,None,None
100,2026-06-23 16:44:35,random_forest,rf_model_4,nb15,Generic,11775,11616,0,0,159,None,None,0.9864968152866243,None,None
101,2026-06-23 16:44:36,random_forest,rf_model_4,nb15,Normal,18600,0,18596,4,0,None,None,None,None,None
102,2026-06-23 16:44:37,random_forest,rf_model_4,nb15,Normal_DoS,20461,1331,18596,4,530,0.8329161451814768,0.997003745318352,0.7152068780225685,0.969355387611008,0.9356643706831053
103,2026-06-23 16:44:38,random_forest,rf_model_4,nb15,Normal_Exploits,20460,727,18596,4,1133,0.5611732921651872,0.9945280437756497,0.39086021505376345,0.9285913978494624,0.8567217900520552
104,2026-06-23 16:44:39,random_forest,rf_model_4,nb15,Normal_Fuzzers,20461,240,18596,4,1621,0.22802850356294538,0.9836065573770492,0.12896292315959162,0.7162298856551859,0.3847471114188711
105,2026-06-23 16:44:39,random_forest,rf_model_4,nb15,Normal_Generic,20461,1838,18596,4,23,0.992708614636781,0.997828447339848,0.9876410531972059,0.9992941417783248,0.9981589249389805
106,2026-06-23 16:44:40,random_forest,rf_model_4,nb15,Normal_Reconnaissance,20461,268,18596,4,1593,0.2512892639474918,0.9852941176470589,0.14400859752821063,0.7627072535866367,0.5500833488941562
107,2026-06-23 16:44:40,random_forest,rf_model_4,nb15,Reconnaissance,2798,411,0,0,2387,None,None,0.1468906361686919,None,None
108,2026-06-23 16:44:41,random_forest,rf_model_4,nb15,nb15_attacks_preprocessed_scaled,13990,6647,0,0,7343,None,None,0.4751250893495354,None,None
109,2026-06-23 16:44:43,random_forest,rf_model_4,nb15,nb15_preprocessed,50199,18575,18596,4,13024,0.7403643030810315,0.9997847031594811,0.587835058071458,0.9135795929978728,0.942454463098261
110,2026-06-23 16:44:44,random_forest,rf_model_4,nb15,nb15_preprocessed_scaled,20464,885,18596,4,979,0.6429349800217944,0.9955005624296963,0.4747854077253219,0.8754312324057409,0.7583495346138879
111,2026-06-23 16:44:44,random_forest,rf_model_4,nb15+sat20,Normal_Syn_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.603896058310655,0.29729081688142994
112,2026-06-23 16:44:45,random_forest,rf_model_4,nb15+sat20,Normal_UDP_DDoS,20461,36,18596,4,1825,0.03787480273540242,0.9,0.01934443847393874,0.9723309528349309,0.8011889484357332
113,2026-06-23 16:44:46,random_forest,rf_model_4,nb15+sat20,Normal_sat20,20462,18,18596,4,1844,0.01910828025477707,0.8181818181818182,0.00966702470461869,0.7866502084704851,0.5310954472617364
114,2026-06-23 16:44:47,random_forest,rf_model_4,nb15+ter20,Normal_Botnet,20461,9,18596,4,1852,0.0096051227321238,0.6923076923076923,0.004836109618484685,0.9645289559896691,0.6827002246808511
115,2026-06-23 16:44:48,random_forest,rf_model_4,nb15+ter20,Normal_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.9571478509068428,0.5841644805470543
116,2026-06-23 16:44:49,random_forest,rf_model_4,nb15+ter20,Normal_Syn_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.9307327110525615,0.7972827966708274
117,2026-06-23 16:44:49,random_forest,rf_model_4,nb15+ter20,Normal_UDP_DDoS,20461,0,18596,4,1861,0.0,0.0,0.0,0.5915752168160257,0.2545516899049749
118,2026-06-23 16:44:50,random_forest,rf_model_4,nb15+ter20,Normal_ter20,20464,1,18596,4,1863,0.001070090957731407,0.2,0.000536480686695279,0.8613435380035996,0.5562613477242004
119,2026-06-23 16:44:51,random_forest,rf_model_4,sat20,Syn_DDoS,7816,0,0,0,7816,None,None,0.0,None,None
120,2026-06-23 16:44:51,random_forest,rf_model_4,sat20,UDP_DDoS,8649,197,0,0,8452,None,None,0.02277719967626315,None,None
121,2026-06-23 16:44:51,random_forest,rf_model_4,sat20,sat20_attacks_preprocessed_scaled,15632,175,0,0,15457,None,None,0.011194984646878198,None,None
122,2026-06-23 16:44:52,random_forest,rf_model_4,sat20,sat20_preprocessed,16465,197,0,0,16268,None,None,0.011964773762526571,None,None
123,2026-06-23 16:44:52,random_forest,rf_model_4,ter20,Botnet,8081,29,0,0,8052,None,None,0.0035886647692117313,None,None
124,2026-06-23 16:44:52,random_forest,rf_model_4,ter20,DDoS,11459,0,0,0,11459,None,None,0.0,None,None
125,2026-06-23 16:44:53,random_forest,rf_model_4,ter20,Syn_DDoS,3143,0,0,0,3143,None,None,0.0,None,None
126,2026-06-23 16:44:53,random_forest,rf_model_4,ter20,UDP_DDoS,2768,0,0,0,2768,None,None,0.0,None,None
127,2026-06-23 16:44:53,random_forest,rf_model_4,ter20,ter20_attacks_preprocessed_scaled,11072,12,0,0,11060,None,None,0.001083815028901734,None,None
128,2026-06-23 16:44:54,random_forest,rf_model_4,ter20,ter20_preprocessed,25451,29,0,0,25422,None,None,0.0011394444226160072,None,None
