id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
18,2026-06-23 16:39:52,isolation_forest,if_model_1,nb15+ter20,Normal_Botnet,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9820285370912852,0.7497547096528995
19,2026-06-23 16:39:53,isolation_forest,if_model_1,nb15+ter20,Normal_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9778318397439231,0.6887530001894867
20,2026-06-23 16:39:54,isolation_forest,if_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1861,16788,1812,0,0.6725695699313335,0.5066702967601415,1.0,0.9422258237853391,0.5010361601134805
21,2026-06-23 16:39:55,isolation_forest,if_model_1,nb15+ter20,Normal_UDP_DDoS,20461,667,16788,1812,1194,0.30737327188940095,0.2690601048810004,0.3584094572810317,0.90458552171627,0.3635201399284144
22,2026-06-23 16:39:55,isolation_forest,if_model_1,nb15+ter20,Normal_ter20,20464,1565,16788,1812,299,0.5972142720854798,0.46342907906425823,0.8395922746781116,0.9520932264986848,0.5575045809892558
18,2026-06-23 16:40:13,random_forest,rf_model_1,nb15+ter20,Normal_Botnet,20461,335,18546,54,1526,0.29777777777777775,0.8611825192802056,0.1800107469102633,0.9968739491428471,0.936379407944198
19,2026-06-23 16:40:14,random_forest,rf_model_1,nb15+ter20,Normal_DDoS,20461,880,18546,54,981,0.629695885509839,0.9421841541755889,0.47286405158516925,0.9970803504879443,0.9210032774233565
20,2026-06-23 16:40:15,random_forest,rf_model_1,nb15+ter20,Normal_Syn_DDoS,20461,1757,18546,54,104,0.9569716775599129,0.9701822197680839,0.9441160666308437,0.9979895622078545,0.9556908660149741
21,2026-06-23 16:40:16,random_forest,rf_model_1,nb15+ter20,Normal_UDP_DDoS,20461,1376,18546,54,485,0.8362199939228198,0.9622377622377623,0.739387426114992,0.9972904785841812,0.9447248214442295
22,2026-06-23 16:40:17,random_forest,rf_model_1,nb15+ter20,Normal_ter20,20464,1092,18546,54,772,0.7255813953488373,0.9528795811518325,0.5858369098712446,0.9973112222529881,0.9314931353313018
50,2026-06-23 16:40:35,random_forest,rf_model_2,nb15+ter20,Normal_Botnet,20461,1400,18509,91,461,0.8353221957040573,0.9389671361502347,0.7522837184309511,0.9958316721845695,0.9039220760460289
51,2026-06-23 16:40:36,random_forest,rf_model_2,nb15+ter20,Normal_DDoS,20461,1786,18509,91,75,0.9555912252541466,0.9515183803942462,0.9596990865126276,0.9959131695873995,0.8943386341502687
52,2026-06-23 16:40:37,random_forest,rf_model_2,nb15+ter20,Normal_Syn_DDoS,20461,1137,18509,91,724,0.7361605697636776,0.9258957654723127,0.6109618484685653,0.9962798934553627,0.9403104094210198
53,2026-06-23 16:40:38,random_forest,rf_model_2,nb15+ter20,Normal_UDP_DDoS,20461,0,18509,91,1861,0.0,0.0,0.0,0.9837369780381688,0.7485505508120285
54,2026-06-23 16:40:39,random_forest,rf_model_2,nb15+ter20,Normal_ter20,20464,1074,18509,91,790,0.709144932320898,0.9218884120171674,0.5761802575107297,0.9929340013383174,0.8762984975619179
82,2026-06-23 16:41:00,random_forest,rf_model_3,nb15+ter20,Normal_Botnet,20461,1861,18206,394,0,0.9042759961127308,0.8252771618625278,1.0,0.9918314381792654,0.8570352804660876
83,2026-06-23 16:41:01,random_forest,rf_model_3,nb15+ter20,Normal_DDoS,20461,1861,18206,394,0,0.9042759961127308,0.8252771618625278,1.0,0.991726988033951,0.8325915556180563
84,2026-06-23 16:41:02,random_forest,rf_model_3,nb15+ter20,Normal_Syn_DDoS,20461,939,18206,394,922,0.5879774577332498,0.7044261065266316,0.5045674368619022,0.9756649939620853,0.6772121903772301
85,2026-06-23 16:41:03,random_forest,rf_model_3,nb15+ter20,Normal_UDP_DDoS,20461,1,18206,394,1860,0.0008865248226950354,0.002531645569620253,0.0005373455131649651,0.9109132562560307,0.3772428409964605
86,2026-06-23 16:41:04,random_forest,rf_model_3,nb15+ter20,Normal_ter20,20464,1174,18206,394,690,0.6841491841491841,0.7487244897959183,0.6298283261802575,0.9677001995938899,0.6812864208748238
114,2026-06-23 16:41:22,random_forest,rf_model_4,nb15+ter20,Normal_Botnet,20461,272,18596,4,1589,0.2545624707533926,0.9855072463768116,0.1461579795808705,0.9992492185378425,0.9849563503430596
