id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
1,2026-06-23 16:39:40,isolation_forest,if_model_1,nb15,DoS,3271,392,0,0,2879,None,None,0.11984102720880464,None,None
2,2026-06-23 16:39:40,isolation_forest,if_model_1,nb15,Exploits,8905,1476,0,0,7429,None,None,0.16574957888826503,None,None
3,2026-06-23 16:39:40,isolation_forest,if_model_1,nb15,Fuzzers,4850,819,0,0,4031,None,None,0.1688659793814433,None,None
4,2026-06-23 16:39:41,isolation_forest,if_model_1,nb15,Generic,11775,523,0,0,11252,None,None,0.04441613588110403,None,None
5,2026-06-23 16:39:41,isolation_forest,if_model_1,nb15,Normal,18600,0,16788,1812,0,None,None,None,None,None
6,2026-06-23 16:39:42,isolation_forest,if_model_1,nb15,Normal_DoS,20461,217,16788,1812,1644,0.11156812339331619,0.10694923607688517,0.11660397635679742,0.6890161665886649,0.15470894904076948
7,2026-06-23 16:39:43,isolation_forest,if_model_1,nb15,Normal_Exploits,20460,293,16788,1812,1567,0.14779319041614122,0.13919239904988123,0.1575268817204301,0.557971167186958,0.11995024217327427
8,2026-06-23 16:39:44,isolation_forest,if_model_1,nb15,Normal_Fuzzers,20461,318,16788,1812,1543,0.15935855675269356,0.14929577464788732,0.1708758731864589,0.46918311926181433,0.10348512494664197
9,2026-06-23 16:39:45,isolation_forest,if_model_1,nb15,Normal_Generic,20461,93,16788,1812,1768,0.04938927243759957,0.048818897637795275,0.04997313272434175,0.7084846134290156,0.1503779181650183
10,2026-06-23 16:39:46,isolation_forest,if_model_1,nb15,Normal_Reconnaissance,20461,65,16788,1812,1796,0.034777956126270736,0.03462972828982419,0.03492745835572273,0.40654125715738443,0.08221612290621783
11,2026-06-23 16:39:46,isolation_forest,if_model_1,nb15,Reconnaissance,2798,100,0,0,2698,None,None,0.035739814152966405,None,None
12,2026-06-23 16:39:46,isolation_forest,if_model_1,nb15,nb15_attacks_preprocessed_scaled,13990,1485,0,0,12505,None,None,0.10614724803431022,None,None
13,2026-06-23 16:39:48,isolation_forest,if_model_1,nb15,nb15_preprocessed,50199,3310,16788,1812,28289,0.18027831486070642,0.6462319406481843,0.1047501503212127,0.6021547410136499,0.6802757090222931
14,2026-06-23 16:39:49,isolation_forest,if_model_1,nb15,nb15_preprocessed_scaled,20464,205,16788,1812,1659,0.10564287554753929,0.10163609320773426,0.10997854077253219,0.5703467366975864,0.11365919295364765
1,2026-06-23 16:39:59,random_forest,rf_model_1,nb15,DoS,3271,3068,0,0,203,None,None,0.9379394680525833,None,None
2,2026-06-23 16:39:59,random_forest,rf_model_1,nb15,Exploits,8905,6957,0,0,1948,None,None,0.7812464907355419,None,None
3,2026-06-23 16:40:00,random_forest,rf_model_1,nb15,Fuzzers,4850,738,0,0,4112,None,None,0.15216494845360826,None,None
4,2026-06-23 16:40:00,random_forest,rf_model_1,nb15,Generic,11775,11643,0,0,132,None,None,0.9887898089171975,None,None
5,2026-06-23 16:40:01,random_forest,rf_model_1,nb15,Normal,18600,0,18546,54,0,None,None,None,None,None
6,2026-06-23 16:40:02,random_forest,rf_model_1,nb15,Normal_DoS,20461,1749,18546,54,112,0.9546943231441049,0.9700499168053245,0.9398173025255239,0.9971669180056968,0.9842497800497
7,2026-06-23 16:40:02,random_forest,rf_model_1,nb15,Normal_Exploits,20460,1442,18546,54,418,0.8593563766388558,0.963903743315508,0.7752688172043011,0.9845742282344778,0.9405871610952532
8,2026-06-23 16:40:03,random_forest,rf_model_1,nb15,Normal_Fuzzers,20461,288,18546,54,1573,0.2614616432137994,0.8421052631578947,0.15475550779150993,0.8018664378614803,0.4347783096032567
9,2026-06-23 16:40:04,random_forest,rf_model_1,nb15,Normal_Generic,20461,1841,18546,54,20,0.9802981895633652,0.9715039577836412,0.9892530897367007,0.9989814991362025,0.9829452973706791
10,2026-06-23 16:40:05,random_forest,rf_model_1,nb15,Normal_Reconnaissance,20461,505,18546,54,1356,0.41735537190082644,0.9033989266547406,0.27135948414830735,0.933518544198113,0.667464021470781
11,2026-06-23 16:40:05,random_forest,rf_model_1,nb15,Reconnaissance,2798,778,0,0,2020,None,None,0.2780557541100786,None,None
12,2026-06-23 16:40:06,random_forest,rf_model_1,nb15,nb15_attacks_preprocessed_scaled,13990,8770,0,0,5220,None,None,0.6268763402430307,None,None
13,2026-06-23 16:40:08,random_forest,rf_model_1,nb15,nb15_preprocessed,50199,23184,18546,54,8415,0.8455604792384703,0.9976762199845082,0.7336941042438052,0.959103402448764,0.9761941783428029
14,2026-06-23 16:40:09,random_forest,rf_model_1,nb15,nb15_preprocessed_scaled,20464,1167,18546,54,697,0.7565640194489465,0.9557739557739557,0.6260729613733905,0.9429538309335916,0.8166586245193251
33,2026-06-23 16:40:21,random_forest,rf_model_2,nb15,DoS,3271,3046,0,0,225,None,None,0.9312136961173952,None,None
34,2026-06-23 16:40:21,random_forest,rf_model_2,nb15,Exploits,8905,8089,0,0,816,None,None,0.9083660864682762,None,None
35,2026-06-23 16:40:21,random_forest,rf_model_2,nb15,Fuzzers,4850,860,0,0,3990,None,None,0.177319587628866,None,None
36,2026-06-23 16:40:22,random_forest,rf_model_2,nb15,Generic,11775,267,0,0,11508,None,None,0.02267515923566879,None,None
37,2026-06-23 16:40:22,random_forest,rf_model_2,nb15,Normal,18600,0,18509,91,0,None,None,None,None,None
38,2026-06-23 16:40:23,random_forest,rf_model_2,nb15,Normal_DoS,20461,1742,18509,91,119,0.9431510557661072,0.950354609929078,0.9360558839333691,0.9957250553234762,0.969774912453605
39,2026-06-23 16:40:25,random_forest,rf_model_2,nb15,Normal_Exploits,20460,1685,18509,91,175,0.9268426842684269,0.9487612612612613,0.9059139784946236,0.9937370794311481,0.9651668364526536
40,2026-06-23 16:40:26,random_forest,rf_model_2,nb15,Normal_Fuzzers,20461,346,18509,91,1515,0.30113141862489123,0.7917620137299771,0.18592154755507792,0.8402449688859615,0.42735601701069326
41,2026-06-23 16:40:26,random_forest,rf_model_2,nb15,Normal_Generic,20461,36,18509,91,1825,0.03621730382293763,0.28346456692913385,0.01934443847393874,0.9767060720042987,0.6725188195099138
42,2026-06-23 16:40:27,random_forest,rf_model_2,nb15,Normal_Reconnaissance,20461,478,18509,91,1383,0.3934156378600823,0.8400702987697716,0.2568511552928533,0.8653982279153881,0.5477466438013785
43,2026-06-23 16:40:28,random_forest,rf_model_2,nb15,Reconnaissance,2798,723,0,0,2075,None,None,0.2583988563259471,None,None
44,2026-06-23 16:40:28,random_forest,rf_model_2,nb15,nb15_attacks_preprocessed_scaled,13990,6424,0,0,7566,None,None,0.4591851322373124,None,None
45,2026-06-23 16:40:31,random_forest,rf_model_2,nb15,nb15_preprocessed,50199,12985,18509,91,18614,0.5813094571908226,0.9930406852248393,0.4109307256558752,0.9530668164604367,0.9703979855208149
46,2026-06-23 16:40:32,random_forest,rf_model_2,nb15,nb15_preprocessed_scaled,20464,846,18509,91,1018,0.6040699750089253,0.9028815368196371,0.453862660944206,0.9332742771932253,0.7434662932056828
65,2026-06-23 16:40:43,random_forest,rf_model_3,nb15,DoS,3271,2524,0,0,747,None,None,0.7716294711097523,None,None
66,2026-06-23 16:40:44,random_forest,rf_model_3,nb15,Exploits,8905,3691,0,0,5214,None,None,0.414486243683324,None,None
67,2026-06-23 16:40:44,random_forest,rf_model_3,nb15,Fuzzers,4850,2298,0,0,2552,None,None,0.4738144329896907,None,None
68,2026-06-23 16:40:45,random_forest,rf_model_3,nb15,Generic,11775,476,0,0,11299,None,None,0.04042462845010616,None,None
69,2026-06-23 16:40:46,random_forest,rf_model_3,nb15,Normal,18600,0,18206,394,0,None,None,None,None,None
70,2026-06-23 16:40:47,random_forest,rf_model_3,nb15,Normal_DoS,20461,1438,18206,394,423,0.7787706471703222,0.7849344978165939,0.7727028479312198,0.9486056750619682,0.8486631553184922
71,2026-06-23 16:40:48,random_forest,rf_model_3,nb15,Normal_Exploits,20460,772,18206,394,1088,0.5102445472571051,0.6620926243567753,0.4150537634408602,0.869622311827957,0.581041021748149
72,2026-06-23 16:40:49,random_forest,rf_model_3,nb15,Normal_Fuzzers,20461,905,18206,394,956,0.5727848101265823,0.6966897613548884,0.4862976894142934,0.9463096641301647,0.6774843293763697
73,2026-06-23 16:40:50,random_forest,rf_model_3,nb15,Normal_Generic,20461,68,18206,394,1793,0.05854498493327594,0.1471861471861472,0.03653949489521763,0.9127205427767474,0.36001717476248907
74,2026-06-23 16:40:51,random_forest,rf_model_3,nb15,Normal_Reconnaissance,20461,346,18206,394,1515,0.26605151864667437,0.46756756756756757,0.18592154755507792,0.8773789239222756,0.403033259620888
75,2026-06-23 16:40:51,random_forest,rf_model_3,nb15,Reconnaissance,2798,529,0,0,2269,None,None,0.1890636168691923,None,None
76,2026-06-23 16:40:52,random_forest,rf_model_3,nb15,nb15_attacks_preprocessed_scaled,13990,5320,0,0,8670,None,None,0.38027162258756253,None,None
77,2026-06-23 16:40:54,random_forest,rf_model_3,nb15,nb15_preprocessed,50199,9518,18206,394,22081,0.4585772445857724,0.9602502017756255,0.30121206367290104,0.9060183271078063,0.9291369144476769
78,2026-06-23 16:40:55,random_forest,rf_model_3,nb15,nb15_preprocessed_scaled,20464,694,18206,394,1170,0.470189701897019,0.6378676470588235,0.3723175965665236,0.9078932028473857,0.5866981465407813
97,2026-06-23 16:41:09,random_forest,rf_model_4,nb15,DoS,3271,2356,0,0,915,None,None,0.7202690308774076,None,None
98,2026-06-23 16:41:09,random_forest,rf_model_4,nb15,Exploits,8905,3569,0,0,5336,None,None,0.40078607523862997,None,None
99,2026-06-23 16:41:10,random_forest,rf_model_4,nb15,Fuzzers,4850,623,0,0,4227,None,None,0.1284536082474227,None,None
100,2026-06-23 16:41:10,random_forest,rf_model_4,nb15,Generic,11775,11616,0,0,159,None,None,0.9864968152866243,None,None
101,2026-06-23 16:41:11,random_forest,rf_model_4,nb15,Normal,18600,0,18596,4,0,None,None,None,None,None
102,2026-06-23 16:41:12,random_forest,rf_model_4,nb15,Normal_DoS,20461,1331,18596,4,530,0.8329161451814768,0.997003745318352,0.7152068780225685,0.969355387611008,0.9356643706831053
103,2026-06-23 16:41:12,random_forest,rf_model_4,nb15,Normal_Exploits,20460,727,18596,4,1133,0.5611732921651872,0.9945280437756497,0.39086021505376345,0.9285913978494624,0.8567217900520552
104,2026-06-23 16:41:13,random_forest,rf_model_4,nb15,Normal_Fuzzers,20461,240,18596,4,1621,0.22802850356294538,0.9836065573770492,0.12896292315959162,0.7162298856551859,0.3847471114188711
105,2026-06-23 16:41:14,random_forest,rf_model_4,nb15,Normal_Generic,20461,1838,18596,4,23,0.992708614636781,0.997828447339848,0.9876410531972059,0.9992941417783248,0.9981589249389805
106,2026-06-23 16:41:15,random_forest,rf_model_4,nb15,Normal_Reconnaissance,20461,268,18596,4,1593,0.2512892639474918,0.9852941176470589,0.14400859752821063,0.7627072535866367,0.5500833488941562
107,2026-06-23 16:41:15,random_forest,rf_model_4,nb15,Reconnaissance,2798,411,0,0,2387,None,None,0.1468906361686919,None,None
108,2026-06-23 16:41:16,random_forest,rf_model_4,nb15,nb15_attacks_preprocessed_scaled,13990,6647,0,0,7343,None,None,0.4751250893495354,None,None
109,2026-06-23 16:41:17,random_forest,rf_model_4,nb15,nb15_preprocessed,50199,18575,18596,4,13024,0.7403643030810315,0.9997847031594811,0.587835058071458,0.9135795929978728,0.942454463098261
110,2026-06-23 16:41:18,random_forest,rf_model_4,nb15,nb15_preprocessed_scaled,20464,885,18596,4,979,0.6429349800217944,0.9955005624296963,0.4747854077253219,0.8754312324057409,0.7583495346138879
129,2026-06-23 16:41:28,random_forest,rf_model_5,nb15,DoS,3271,2525,0,0,746,None,None,0.7719351880158973,None,None
130,2026-06-23 16:41:29,random_forest,rf_model_5,nb15,Exploits,8905,3899,0,0,5006,None,None,0.43784390791690064,None,None
131,2026-06-23 16:41:29,random_forest,rf_model_5,nb15,Fuzzers,4850,691,0,0,4159,None,None,0.14247422680412372,None,None
132,2026-06-23 16:41:29,random_forest,rf_model_5,nb15,Generic,11775,11059,0,0,716,None,None,0.9391932059447983,None,None
133,2026-06-23 16:41:30,random_forest,rf_model_5,nb15,Normal,18600,0,18522,78,0,None,None,None,None,None
134,2026-06-23 16:41:31,random_forest,rf_model_5,nb15,Normal_DoS,20461,1438,18522,78,423,0.8516434705359787,0.9485488126649076,0.7727028479312198,0.9458043571209837,0.8828278412255348
135,2026-06-23 16:41:32,random_forest,rf_model_5,nb15,Normal_Exploits,20460,805,18522,78,1055,0.5869485964272694,0.9116647791619479,0.4327956989247312,0.8626926234246735,0.7086912912394076
136,2026-06-23 16:41:33,random_forest,rf_model_5,nb15,Normal_Fuzzers,20461,273,18522,78,1588,0.2468354430379747,0.7777777777777778,0.14669532509403546,0.7368444673634824,0.34361400801436326
137,2026-06-23 16:41:34,random_forest,rf_model_5,nb15,Normal_Generic,20461,1737,18522,78,124,0.9450489662676823,0.9570247933884297,0.9333691563675444,0.9937075251483478,0.9685072306781263
138,2026-06-23 16:41:35,random_forest,rf_model_5,nb15,Normal_Reconnaissance,20461,1774,18522,78,87,0.9555615405332615,0.9578833693304536,0.9532509403546481,0.9974999711104562,0.9855905284262119
139,2026-06-23 16:41:35,random_forest,rf_model_5,nb15,Reconnaissance,2798,2665,0,0,133,None,None,0.9524660471765547,None,None
140,2026-06-23 16:41:36,random_forest,rf_model_5,nb15,nb15_attacks_preprocessed_scaled,13990,9066,0,0,4924,None,None,0.6480343102215869,None,None
141,2026-06-23 16:41:38,random_forest,rf_model_5,nb15,nb15_preprocessed,50199,20839,18522,78,10760,0.7936248000609338,0.9962709757613425,0.6594828950283237,0.9118851317943572,0.9439333285105447
142,2026-06-23 16:41:39,random_forest,rf_model_5,nb15,nb15_preprocessed_scaled,20464,1200,18522,78,664,0.7638446849140674,0.9389671361502347,0.6437768240343348,0.9080950032304214,0.7949846845784063
161,2026-06-23 16:41:50,random_forest,rf_model_6,nb15,DoS,3271,3020,0,0,251,None,None,0.9232650565576276,None,None
162,2026-06-23 16:41:51,random_forest,rf_model_6,nb15,Exploits,8905,7711,0,0,1194,None,None,0.8659180235822571,None,None
163,2026-06-23 16:41:51,random_forest,rf_model_6,nb15,Fuzzers,4850,1207,0,0,3643,None,None,0.2488659793814433,None,None
164,2026-06-23 16:41:51,random_forest,rf_model_6,nb15,Generic,11775,11677,0,0,98,None,None,0.9916772823779193,None,None
165,2026-06-23 16:41:52,random_forest,rf_model_6,nb15,Normal,18600,0,18469,131,0,None,None,None,None,None
166,2026-06-23 16:41:53,random_forest,rf_model_6,nb15,Normal_DoS,20461,1721,18469,131,140,0.9270131968758416,0.9292656587473002,0.9247716281569048,0.9935601306962958,0.9667990019000562
167,2026-06-23 16:41:54,random_forest,rf_model_6,nb15,Normal_Exploits,20460,1610,18469,131,250,0.8941960566509303,0.9247558874210224,0.8655913978494624,0.9881342785293097,0.9423476154782042
168,2026-06-23 16:41:55,random_forest,rf_model_6,nb15,Normal_Fuzzers,20461,473,18469,131,1388,0.38377281947261666,0.7831125827814569,0.25416442772702846,0.9209833133995483,0.5965614452988529
169,2026-06-23 16:41:57,random_forest,rf_model_6,nb15,Normal_Generic,20461,1846,18469,131,15,0.9619593538301199,0.9337379868487607,0.9919398173025256,0.9993831793520653,0.9879332776349063
