id,timestamp,model_type,model_name,dataset_type,testing_dataset,samples,tp,tn,fp,fn,f1,precision,recall,auc_roc,pr_auc
27,2026-06-23 16:39:57,isolation_forest,if_model_1,ter20,Botnet,8081,8081,0,0,0,None,None,1.0,None,None
28,2026-06-23 16:39:57,isolation_forest,if_model_1,ter20,DDoS,11459,11459,0,0,0,None,None,1.0,None,None
29,2026-06-23 16:39:58,isolation_forest,if_model_1,ter20,Syn_DDoS,3143,3143,0,0,0,None,None,1.0,None,None
30,2026-06-23 16:39:58,isolation_forest,if_model_1,ter20,UDP_DDoS,2768,1020,0,0,1748,None,None,0.3684971098265896,None,None
31,2026-06-23 16:39:58,isolation_forest,if_model_1,ter20,ter20_attacks_preprocessed_scaled,11072,9324,0,0,1748,None,None,0.8421242774566474,None,None
32,2026-06-23 16:39:59,isolation_forest,if_model_1,ter20,ter20_preprocessed,25451,23703,0,0,1748,None,None,0.9313190051471455,None,None
27,2026-06-23 16:40:18,random_forest,rf_model_1,ter20,Botnet,8081,1372,0,0,6709,None,None,0.1697809677020171,None,None
28,2026-06-23 16:40:19,random_forest,rf_model_1,ter20,DDoS,11459,5357,0,0,6102,None,None,0.46749280041888475,None,None
29,2026-06-23 16:40:19,random_forest,rf_model_1,ter20,Syn_DDoS,3143,2968,0,0,175,None,None,0.9443207126948775,None,None
30,2026-06-23 16:40:19,random_forest,rf_model_1,ter20,UDP_DDoS,2768,2014,0,0,754,None,None,0.7276011560693642,None,None
31,2026-06-23 16:40:20,random_forest,rf_model_1,ter20,ter20_attacks_preprocessed_scaled,11072,6431,0,0,4641,None,None,0.5808345375722543,None,None
32,2026-06-23 16:40:20,random_forest,rf_model_1,ter20,ter20_preprocessed,25451,11711,0,0,13740,None,None,0.4601390908019331,None,None
59,2026-06-23 16:40:41,random_forest,rf_model_2,ter20,Botnet,8081,6082,0,0,1999,None,None,0.7526296250464052,None,None
60,2026-06-23 16:40:42,random_forest,rf_model_2,ter20,DDoS,11459,10983,0,0,476,None,None,0.9584605986560782,None,None
61,2026-06-23 16:40:42,random_forest,rf_model_2,ter20,Syn_DDoS,3143,1933,0,0,1210,None,None,0.6150174992045816,None,None
62,2026-06-23 16:40:42,random_forest,rf_model_2,ter20,UDP_DDoS,2768,0,0,0,2768,None,None,0.0,None,None
63,2026-06-23 16:40:42,random_forest,rf_model_2,ter20,ter20_attacks_preprocessed_scaled,11072,6436,0,0,4636,None,None,0.5812861271676301,None,None
64,2026-06-23 16:40:43,random_forest,rf_model_2,ter20,ter20_preprocessed,25451,18998,0,0,6453,None,None,0.746453970374445,None,None
91,2026-06-23 16:41:06,random_forest,rf_model_3,ter20,Botnet,8081,8081,0,0,0,None,None,1.0,None,None
