id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
151,2026-06-30 15:55:02,model_1,nb15_sat20,"UDP_DDoS, Normal",102300,1682,18430,170,179,0.9829,0.9082,0.9038,0.906,0.9903,0.8819,0.9038,0.0962,0.9909,0.0091
152,2026-06-30 15:55:03,model_2,nb15_sat20,"UDP_DDoS, Normal",102300,1414,18544,56,447,0.9754,0.9619,0.7598,0.849,0.9963,0.9484,0.7598,0.2402,0.997,0.003
153,2026-06-30 15:55:04,model_3,nb15_sat20,"UDP_DDoS, Normal",102300,1438,18486,114,423,0.9738,0.9265,0.7727,0.8427,0.995,0.9034,0.7727,0.2273,0.9939,0.0061
154,2026-06-30 15:55:04,model_4,nb15_sat20,"UDP_DDoS, Normal",102300,1720,18027,573,141,0.9651,0.7501,0.9242,0.8281,0.9796,0.7831,0.9242,0.0758,0.9692,0.0308
155,2026-06-30 15:55:05,model_5,nb15_sat20,"UDP_DDoS, Normal",102300,35,18595,5,1826,0.9105,0.875,0.0188,0.0368,0.7488,0.5322,0.0188,0.9812,0.9997,0.0003
156,2026-06-30 15:55:06,model_6,nb15_sat20,"UDP_DDoS, Normal",102300,66,18523,77,1795,0.9085,0.4615,0.0355,0.0659,0.9829,0.8036,0.0355,0.9645,0.9959,0.0041
157,2026-06-30 15:55:06,model_7,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
158,2026-06-30 15:55:06,model_8,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
159,2026-06-30 15:55:06,model_9,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
160,2026-06-30 15:55:06,model_10,nb15_sat20,"UDP_DDoS, Normal",102300,19,18600,0,1842,0.91,1.0,0.0102,0.0202,1.0,1.0,0.0102,0.9898,1.0,0.0
161,2026-06-30 15:55:06,model_11,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
162,2026-06-30 15:55:07,model_12,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
163,2026-06-30 15:55:07,model_13,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
164,2026-06-30 15:55:07,model_14,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
165,2026-06-30 15:55:08,model_15,nb15_sat20,"UDP_DDoS, Normal",102300,745,18600,0,1116,0.9455,1.0,0.4003,0.5718,1.0,1.0,0.4003,0.5997,1.0,0.0
