id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
196,2026-06-30 15:55:20,model_1,nb15_ter20,"Syn_DDoS, Normal",102300,0,18430,170,1861,0.9007,0.0,0.0,0.0,0.9653,0.5977,0.0,1.0,0.9909,0.0091
197,2026-06-30 15:55:21,model_2,nb15_ter20,"Syn_DDoS, Normal",102300,0,18544,56,1861,0.9063,0.0,0.0,0.0,0.9943,0.8973,0.0,1.0,0.997,0.003
198,2026-06-30 15:55:21,model_3,nb15_ter20,"Syn_DDoS, Normal",102300,0,18486,114,1861,0.9035,0.0,0.0,0.0,0.9487,0.5444,0.0,1.0,0.9939,0.0061
199,2026-06-30 15:55:22,model_4,nb15_ter20,"Syn_DDoS, Normal",102300,1,18027,573,1860,0.8811,0.0017,0.0005,0.0008,0.9032,0.369,0.0005,0.9995,0.9692,0.0308
200,2026-06-30 15:55:22,model_5,nb15_ter20,"Syn_DDoS, Normal",102300,0,18595,5,1861,0.9088,0.0,0.0,0.0,0.9326,0.8161,0.0,1.0,0.9997,0.0003
201,2026-06-30 15:55:22,model_6,nb15_ter20,"Syn_DDoS, Normal",102300,360,18523,77,1501,0.9229,0.8238,0.1934,0.3133,0.9931,0.8747,0.1934,0.8066,0.9959,0.0041
202,2026-06-30 15:55:23,model_7,nb15_ter20,"Syn_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
203,2026-06-30 15:55:23,model_8,nb15_ter20,"Syn_DDoS, Normal",102300,1762,18600,0,99,0.9952,1.0,0.9468,0.9727,1.0,1.0,0.9468,0.0532,1.0,0.0
204,2026-06-30 15:55:23,model_9,nb15_ter20,"Syn_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
205,2026-06-30 15:55:23,model_10,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18600,0,1,1.0,1.0,0.9995,0.9997,1.0,1.0,0.9995,0.0005,1.0,0.0
206,2026-06-30 15:55:23,model_11,nb15_ter20,"Syn_DDoS, Normal",102300,1,18600,0,1860,0.9091,1.0,0.0005,0.0011,0.8197,0.6721,0.0005,0.9995,1.0,0.0
207,2026-06-30 15:55:23,model_12,nb15_ter20,"Syn_DDoS, Normal",102300,1093,18600,0,768,0.9625,1.0,0.5873,0.74,1.0,1.0,0.5873,0.4127,1.0,0.0
208,2026-06-30 15:55:24,model_13,nb15_ter20,"Syn_DDoS, Normal",102300,1762,18600,0,99,0.9952,1.0,0.9468,0.9727,1.0,1.0,0.9468,0.0532,1.0,0.0
209,2026-06-30 15:55:24,model_14,nb15_ter20,"Syn_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
210,2026-06-30 15:55:24,model_15,nb15_ter20,"Syn_DDoS, Normal",102300,1761,18600,0,100,0.9951,1.0,0.9463,0.9724,1.0,1.0,0.9463,0.0537,1.0,0.0
