id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
1,2026-06-26 16:55:43,model_1,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,1561,18430,170,300,0.977,0.9018,0.8388,0.8692,0.972,0.9144,0.8388,0.1612,0.9909,0.0091
10,2026-06-26 16:55:49,model_1,nb15,"DoS, Normal",102300,1713,18430,170,148,0.9845,0.9097,0.9205,0.9151,0.9889,0.9613,0.9205,0.0795,0.9909,0.0091
19,2026-06-26 16:55:56,model_1,nb15,"Exploits, Normal",102300,1613,18430,170,247,0.9796,0.9047,0.8672,0.8855,0.9823,0.9338,0.8672,0.1328,0.9909,0.0091
28,2026-06-26 16:56:02,model_1,nb15,"Fuzzers, Normal",102300,487,18430,170,1374,0.9245,0.7412,0.2617,0.3868,0.8599,0.536,0.2617,0.7383,0.9909,0.0091
37,2026-06-26 16:56:08,model_1,nb15,"Generic, Normal",102300,1847,18430,170,14,0.991,0.9157,0.9925,0.9526,0.999,0.9937,0.9925,0.0075,0.9909,0.0091
46,2026-06-26 16:56:14,model_1,nb15,"Reconnaissance, Normal",102300,1625,18430,170,236,0.9802,0.9053,0.8732,0.8889,0.9918,0.9504,0.8732,0.1268,0.9909,0.0091
55,2026-06-26 16:56:21,model_1,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,899,18430,170,962,0.9447,0.841,0.4831,0.6137,0.9753,0.739,0.4831,0.5169,0.9909,0.0091
64,2026-06-26 16:56:28,model_1,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,912,18430,170,949,0.9453,0.8429,0.4901,0.6198,0.9735,0.7376,0.4901,0.5099,0.9909,0.0091
73,2026-06-26 16:56:35,model_1,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1019,18430,170,842,0.9505,0.857,0.5476,0.6682,0.9789,0.7773,0.5476,0.4524,0.9909,0.0091
82,2026-06-26 16:56:42,model_1,nb15_sat20,"Syn_DDoS, Normal",102300,0,18430,170,1861,0.9007,0.0,0.0,0.0,0.9528,0.5337,0.0,1.0,0.9909,0.0091
91,2026-06-26 16:56:49,model_1,nb15_sat20,"UDP_DDoS, Normal",102300,1682,18430,170,179,0.9829,0.9082,0.9038,0.906,0.9903,0.8819,0.9038,0.0962,0.9909,0.0091
100,2026-06-26 16:56:56,model_1,nb15_ter20,"Botnet, Normal",102300,1383,18430,170,478,0.9683,0.8905,0.7431,0.8102,0.9917,0.8687,0.7431,0.2569,0.9909,0.0091
109,2026-06-26 16:57:03,model_1,nb15_ter20,"DDoS, Normal",102300,1266,18430,170,595,0.9626,0.8816,0.6803,0.768,0.9816,0.8187,0.6803,0.3197,0.9909,0.0091
118,2026-06-26 16:57:10,model_1,nb15_ter20,"Syn_DDoS, Normal",102300,0,18430,170,1861,0.9007,0.0,0.0,0.0,0.9653,0.5977,0.0,1.0,0.9909,0.0091
127,2026-06-26 16:57:16,model_1,nb15_ter20,"UDP_DDoS, Normal",102300,0,18430,170,1861,0.9007,0.0,0.0,0.0,0.9506,0.5148,0.0,1.0,0.9909,0.0091
