id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
91,2026-06-30 15:57:48,model_1,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,924,18425,175,937,0.9457,0.8408,0.4965,0.6243,0.9692,0.7134,0.4965,0.5035,0.9906,0.0094
92,2026-06-30 15:57:49,model_2,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,246,18542,58,1615,0.9182,0.8092,0.1322,0.2273,0.9883,0.8549,0.1322,0.8678,0.9969,0.0031
93,2026-06-30 15:57:49,model_3,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,331,18478,122,1530,0.9193,0.7307,0.1779,0.2861,0.9739,0.7299,0.1779,0.8221,0.9934,0.0066
94,2026-06-30 15:57:50,model_4,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,967,18004,596,894,0.9272,0.6187,0.5196,0.5648,0.9469,0.5742,0.5196,0.4804,0.968,0.032
95,2026-06-30 15:57:51,model_5,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,7,18591,9,1854,0.9089,0.4375,0.0038,0.0075,0.6617,0.3424,0.0038,0.9962,0.9995,0.0005
96,2026-06-30 15:57:51,model_6,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,442,18524,76,1419,0.9269,0.8533,0.2375,0.3716,0.8613,0.6265,0.2375,0.7625,0.9959,0.0041
97,2026-06-30 15:57:51,model_7,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
98,2026-06-30 15:57:51,model_8,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1849,18600,0,12,0.9994,1.0,0.9936,0.9968,1.0,1.0,0.9936,0.0064,1.0,0.0
99,2026-06-30 15:57:52,model_9,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
100,2026-06-30 15:57:52,model_10,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1116,18600,0,745,0.9636,1.0,0.5997,0.7497,1.0,1.0,0.5997,0.4003,1.0,0.0
101,2026-06-30 15:57:52,model_11,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1183,18600,0,678,0.9669,1.0,0.6357,0.7773,0.9696,0.9447,0.6357,0.3643,1.0,0.0
102,2026-06-30 15:57:52,model_12,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1758,18600,0,103,0.995,1.0,0.9447,0.9715,1.0,1.0,0.9447,0.0553,1.0,0.0
103,2026-06-30 15:57:52,model_13,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1849,18600,0,12,0.9994,1.0,0.9936,0.9968,1.0,1.0,0.9936,0.0064,1.0,0.0
104,2026-06-30 15:57:52,model_14,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
105,2026-06-30 15:57:53,model_15,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1423,18600,0,438,0.9786,1.0,0.7646,0.8666,1.0,1.0,0.7646,0.2354,1.0,0.0
