id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
106,2026-06-30 12:37:34,model_1,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,946,18425,175,915,0.9467,0.8439,0.5083,0.6345,0.9647,0.7134,0.5083,0.4917,0.9906,0.0094
107,2026-06-30 12:37:35,model_2,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,659,18542,58,1202,0.9384,0.9191,0.3541,0.5112,0.9959,0.9264,0.3541,0.6459,0.9969,0.0031
108,2026-06-30 12:37:35,model_3,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,790,18478,122,1071,0.9417,0.8662,0.4245,0.5698,0.9724,0.7593,0.4245,0.5755,0.9934,0.0066
109,2026-06-30 12:37:36,model_4,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,952,18004,596,909,0.9264,0.615,0.5116,0.5585,0.9428,0.5414,0.5116,0.4884,0.968,0.032
110,2026-06-30 12:37:36,model_5,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,30,18591,9,1831,0.9101,0.7692,0.0161,0.0316,0.713,0.452,0.0161,0.9839,0.9995,0.0005
111,2026-06-30 12:37:37,model_6,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,724,18524,76,1137,0.9407,0.905,0.389,0.5442,0.9883,0.8594,0.389,0.611,0.9959,0.0041
112,2026-06-30 12:37:37,model_7,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
113,2026-06-30 12:37:37,model_8,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
114,2026-06-30 12:37:37,model_9,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
115,2026-06-30 12:37:37,model_10,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,861,18600,0,1000,0.9511,1.0,0.4627,0.6326,1.0,1.0,0.4627,0.5373,1.0,0.0
116,2026-06-30 12:37:38,model_11,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1012,18600,0,849,0.9585,1.0,0.5438,0.7045,0.9777,0.9594,0.5438,0.4562,1.0,0.0
117,2026-06-30 12:37:38,model_12,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1821,18600,0,40,0.998,1.0,0.9785,0.9891,1.0,1.0,0.9785,0.0215,1.0,0.0
118,2026-06-30 12:37:38,model_13,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
119,2026-06-30 12:37:38,model_14,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
120,2026-06-30 12:37:38,model_15,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1216,18600,0,645,0.9685,1.0,0.6534,0.7904,1.0,1.0,0.6534,0.3466,1.0,0.0
