id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
196,2026-06-30 12:38:03,model_1,nb15_ter20,"Syn_DDoS, Normal",102300,0,18425,175,1861,0.9005,0.0,0.0,0.0,0.9577,0.541,0.0,1.0,0.9906,0.0094
197,2026-06-30 12:38:04,model_2,nb15_ter20,"Syn_DDoS, Normal",102300,0,18542,58,1861,0.9062,0.0,0.0,0.0,0.9936,0.8874,0.0,1.0,0.9969,0.0031
198,2026-06-30 12:38:04,model_3,nb15_ter20,"Syn_DDoS, Normal",102300,0,18478,122,1861,0.9031,0.0,0.0,0.0,0.9578,0.5761,0.0,1.0,0.9934,0.0066
199,2026-06-30 12:38:05,model_4,nb15_ter20,"Syn_DDoS, Normal",102300,1,18004,596,1860,0.88,0.0017,0.0005,0.0008,0.8809,0.3244,0.0005,0.9995,0.968,0.032
200,2026-06-30 12:38:05,model_5,nb15_ter20,"Syn_DDoS, Normal",102300,0,18591,9,1861,0.9086,0.0,0.0,0.0,0.93,0.7887,0.0,1.0,0.9995,0.0005
201,2026-06-30 12:38:06,model_6,nb15_ter20,"Syn_DDoS, Normal",102300,338,18524,76,1523,0.9219,0.8164,0.1816,0.2971,0.9933,0.8629,0.1816,0.8184,0.9959,0.0041
202,2026-06-30 12:38:06,model_7,nb15_ter20,"Syn_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
203,2026-06-30 12:38:06,model_8,nb15_ter20,"Syn_DDoS, Normal",102300,1762,18600,0,99,0.9952,1.0,0.9468,0.9727,1.0,1.0,0.9468,0.0532,1.0,0.0
204,2026-06-30 12:38:06,model_9,nb15_ter20,"Syn_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
205,2026-06-30 12:38:06,model_10,nb15_ter20,"Syn_DDoS, Normal",102300,1860,18600,0,1,1.0,1.0,0.9995,0.9997,1.0,1.0,0.9995,0.0005,1.0,0.0
206,2026-06-30 12:38:06,model_11,nb15_ter20,"Syn_DDoS, Normal",102300,1,18600,0,1860,0.9091,1.0,0.0005,0.0011,0.8197,0.672,0.0005,0.9995,1.0,0.0
207,2026-06-30 12:38:07,model_12,nb15_ter20,"Syn_DDoS, Normal",102300,1093,18600,0,768,0.9625,1.0,0.5873,0.74,1.0,1.0,0.5873,0.4127,1.0,0.0
208,2026-06-30 12:38:07,model_13,nb15_ter20,"Syn_DDoS, Normal",102300,1762,18600,0,99,0.9952,1.0,0.9468,0.9727,1.0,1.0,0.9468,0.0532,1.0,0.0
209,2026-06-30 12:38:07,model_14,nb15_ter20,"Syn_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
210,2026-06-30 12:38:07,model_15,nb15_ter20,"Syn_DDoS, Normal",102300,1761,18600,0,100,0.9951,1.0,0.9463,0.9724,1.0,1.0,0.9463,0.0537,1.0,0.0
