id,timestamp,model_name,dataset_type,classes,samples,TP,TN,FP,FN,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,TPR,FNR,TNR,FPR
11,2026-06-30 12:37:02,model_11,nb15,"Reconnaissance, Normal, DoS, Generic, Exploits, Fuzzers",102300,0,18600,0,1861,0.909,0.0,0.0,0.0,0.5095,0.107,0.0,1.0,1.0,0.0
26,2026-06-30 12:37:08,model_11,nb15,"DoS, Normal",102300,0,18600,0,1861,0.909,0.0,0.0,0.0,0.5254,0.136,0.0,1.0,1.0,0.0
41,2026-06-30 12:37:13,model_11,nb15,"Exploits, Normal",102300,0,18600,0,1860,0.9091,0.0,0.0,0.0,0.5149,0.1169,0.0,1.0,1.0,0.0
56,2026-06-30 12:37:18,model_11,nb15,"Fuzzers, Normal",102300,0,18600,0,1861,0.909,0.0,0.0,0.0,0.5152,0.1173,0.0,1.0,1.0,0.0
71,2026-06-30 12:37:23,model_11,nb15,"Generic, Normal",102300,0,18600,0,1861,0.909,0.0,0.0,0.0,0.5006,0.0917,0.0,1.0,1.0,0.0
86,2026-06-30 12:37:28,model_11,nb15,"Reconnaissance, Normal",102300,0,18600,0,1861,0.909,0.0,0.0,0.0,0.5082,0.1047,0.0,1.0,1.0,0.0
101,2026-06-30 12:37:33,model_11,hybrid,"Syn_DDoS, Normal, DDoS, UDP_DDoS, Botnet",102300,1183,18600,0,678,0.9669,1.0,0.6357,0.7773,0.9696,0.9447,0.6357,0.3643,1.0,0.0
116,2026-06-30 12:37:38,model_11,nb15_sat20,"UDP_DDoS, Normal, Syn_DDoS",102300,1012,18600,0,849,0.9585,1.0,0.5438,0.7045,0.9777,0.9594,0.5438,0.4562,1.0,0.0
131,2026-06-30 12:37:42,model_11,nb15_ter20,"UDP_DDoS, Normal, DDoS, Botnet, Syn_DDoS",102300,1427,18600,0,434,0.9788,1.0,0.7668,0.868,0.9745,0.9536,0.7668,0.2332,1.0,0.0
146,2026-06-30 12:37:47,model_11,nb15_sat20,"Syn_DDoS, Normal",102300,0,18600,0,1861,0.909,0.0,0.0,0.0,0.9567,0.9212,0.0,1.0,1.0,0.0
161,2026-06-30 12:37:52,model_11,nb15_sat20,"UDP_DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
176,2026-06-30 12:37:57,model_11,nb15_ter20,"Botnet, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
191,2026-06-30 12:38:02,model_11,nb15_ter20,"DDoS, Normal",102300,1861,18600,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
206,2026-06-30 12:38:06,model_11,nb15_ter20,"Syn_DDoS, Normal",102300,1,18600,0,1860,0.9091,1.0,0.0005,0.0011,0.8197,0.672,0.0005,0.9995,1.0,0.0
221,2026-06-30 12:38:11,model_11,nb15_ter20,"UDP_DDoS, Normal",102300,0,18600,0,1861,0.909,0.0,0.0,0.0,0.9556,0.9192,0.0,1.0,1.0,0.0
